navn,name_base,art,layers,n_units,n_versions,earliest_fra,latest_til,ambiguous,spread_km,lat,lon,candidates
1. Kreds,1. Kreds,"Rigsrådet, landstingsvalgkredse; Rigsrådet, valgkredse",Rigsraadet_landstingsvalgkreds; Rigsraadet_valgkredse,2,10,1855-10-02,1866-07-28,no,17.56,55.605132,12.335547,
1. Sjællandske Distrikt,1. Sjællandske Distrikt,Udskrivningsdistrikt,Udskrivningsdistrikt,1,1,1794-07-02,1851-06-30,no,0.0,55.760523,11.883033,
1. Udskrivningskreds,1.,Udskrivningsdistrikt,Udskrivningsdistrikt,1,1,1870-07-02,1913-07-02,no,0.0,55.760523,11.883033,
1. Valgdistrikt,1.,"Stænderforsamling i Slesvig, Landkredse",Staenderforsamling_i_Slesvig_Landkredse,1,2,1834-05-15,1863-12-03,no,0.0,55.249695,8.959287,
1. blandede Valgdistrikt,1. blandede,"Rigsrådet, folketingsvalgkredse; Stænderforsamling i Slesvig, Landkredse",Rigsraadet_folketingsvalgkredse; Staenderforsamling_i_Slesvig_Landkredse,2,2,1834-05-15,1866-07-28,no,0.0,54.879766,10.371739,
1. slesvigske Landkreds,1. slesvigske,"Rigsrådet, folketingsvalgkredse",Rigsraadet_folketingsvalgkredse,1,1,1863-12-04,1866-07-28,no,0.0,55.258152,8.963276,
10. Kreds,10. Kreds,"Rigsrådet, landstingsvalgkredse",Rigsraadet_landstingsvalgkreds,1,2,1863-12-04,1866-07-28,no,0.0,55.87201,9.53949,
100085301,100085301,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,56.010182,10.080604,
100085302,100085302,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,56.000533,10.081516,
10015201,10015201,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.976156,12.252722,
10015202,10015202,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.974763,12.264977,
1005101,1005101,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.678403,12.549833,
1005102,1005102,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.678364,12.549771,
1005103,1005103,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.678179,12.549923,
1005104,1005104,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.684977,12.531387,
1005105,1005105,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.671812,12.521678,
1005106,1005106,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.676469,12.498422,
1005107,1005107,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.678416,12.503817,
1005109,1005109,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.678276,12.503725,
1005110,1005110,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.680075,12.509005,
1005111,1005111,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.679129,12.511269,
1005112,1005112,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.678879,12.527937,
1005113,1005113,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.678867,12.528009,
1005114,1005114,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.678842,12.527873,
1005115,1005115,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.686011,12.518179,
1005116,1005116,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.686078,12.517363,
1005117,1005117,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.686056,12.517508,
1005118,1005118,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.688597,12.522042,
1005119,1005119,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.688617,12.522592,
1005120,1005120,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.691293,12.530263,
1005121,1005121,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.691755,12.529669,
1005122,1005122,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.68111,12.536149,
1005123,1005123,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.6832,12.534308,
1005124,1005124,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.683113,12.534433,
1005125,1005125,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.683631,12.533891,
1005126,1005126,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.687772,12.527129,
1005127,1005127,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.685205,12.542936,
1005128,1005128,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.684692,12.543658,
1005129,1005129,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.683958,12.545926,
1005130,1005130,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.68404,12.545343,
1005131,1005131,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.684341,12.544042,
1005132,1005132,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.684309,12.544043,
1005133,1005133,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.680009,12.523656,
1005134,1005134,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.679933,12.522785,
1005135,1005135,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.676095,12.520659,
1005136,1005136,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.675738,12.516153,
1005137,1005137,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.672503,12.524534,
1005138,1005138,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.672655,12.526788,
1005139,1005139,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.672601,12.52675,
1005140,1005140,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.674432,12.538526,
1005141,1005141,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.682382,12.555541,
1005152,1005152,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.681494,12.511747,
1005153,1005153,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.678499,12.536378,
1005154,1005154,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.692611,12.527701,
1005155,1005155,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.679501,12.508888,
1005156,1005156,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.675406,12.543011,
1005157,1005157,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.677975,12.514038,
1005158,1005158,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.68747,12.53371,
1005159,1005159,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.678055,12.514088,
1005160,1005160,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.687394,12.534034,
1005161,1005161,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.681398,12.511693,
1005162,1005162,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.678468,12.536227,
101025101,101025101,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,56.244387,10.233487,
101025102,101025102,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,56.235136,10.235015,
101025301,101025301,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,56.227821,10.24214,
101025302,101025302,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,56.226198,10.252317,
101035101,101035101,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,56.266556,10.104007,
101035102,101035102,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,56.249814,10.123437,
1015101,1015101,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.733827,12.555877,
1015102,1015102,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.754269,12.546472,
1015103,1015103,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.729758,12.542566,
1015104,1015104,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.746324,12.543424,
1015105,1015105,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.744853,12.569828,
1015106,1015106,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.73591,12.574446,
1015107,1015107,Geobyggeklods,Geobyggeklods,1,1,1000-01-01,9999-12-31,no,0.0,55.73934,12.535535,
