issue_place_raw,n_charters
Avignon,1025
Roskilde,525
Rom,509
Lübeck,499
Lund,436
S. Pietro i Rom,429
Lateranet,284
København,263
Ribe,260
Marienburg,205
Vordingborg,202
Stralsund,200
Helsingborg,193
Firenze,177
"Rom, Santi Apostoli",159
Nyborg,148
Villeneuve,143
Rostock,130
Lyon,127
Westminster,127
Bologna,98
Flensborg,98
Kalundborg,98
Slesvig,95
Reval,90
Odense,88
Sjællands landsting,88
Viterbo,85
Orvieto,82
Ålborg,81
Perugia,78
Stockholm,74
Viborg,64
Anagni,61
Århus,59
Varberg,57
Wismar,54
Slagelse,53
Konstanz,52
Ringsted,51
Nykøbing,49
Søborg,48
Gottorp,47
Kalmar,46
Danzig,43
Falsterbo,41
Aarhus,40
Kolding,40
Næstved,40
Randers,40
[Lübeck],40
Riga,37
Sønderborg,37
Vadstena,37
Paris,36
Malmø,33
[Citeaux],32
Bergen,31
Montefiascone,30
Oslo,30
Svavsted,30
Ribe byting,28
Greifswald,27
Hamburg,26
Le Groseau,26
Roskilde byting,26
Vienne,26
Horsens,25
Plön,25
[Næstved],25
Viborg landsting,24
Holbæk,22
Lödöse,22
Haag,21
Kiel,21
Malmø byting,21
Skånes landsting,21
Bremen,20
Hammershus,20
Københavns byting,20
Poitiers,20
Uppsala,20
Prag,19
Ferrara,18
Lucca,18
Lüneburg,18
Meldorf,18
Warnemünde,18
Gurre,17
Sakskøbing,17
Slangerup,17
Visby,17
Åhus,17
Ålstrup,17
Basel,16
Bohus,16
Fyns landsting,16
Rieti,16
Ålholm,16
Dorpat,15
Nyköping,15
Skanør,15
nil,15
Aalborg,14
Assisi,14
Frankfurt,14
Laholm,14
London,14
Lunds byting,14
Pont-de-Sorgues,14
Schwerin,14
Sorø,14
Stade,14
Halmstad,13
Helsingør,13
Hviding herredsting,13
Jönköping,13
Linköping,13
Ribe domkirke,13
Söderköping,13
Viborg slot,13
Ystad,13
Fabriano,12
Grevesmühlen,12
Hjortholm,12
Køge byting,12
Mantua,12
Nakskov,12
Nykøbing F.,12
Nürnberg,12
Ribnitz,12
"Rom, Santa Maria Maggiore",12
Skara,12
Tønder,12
Braunschweig,11
Elbing,11
Güstrow,11
Houlbjerg herredsting,11
Morsø Nørreherreds ting,11
Næsby,11
Svendborg,11
Tivoli,11
Tranekær,11
Tusculum,11
Tønsberg,11
Åbo,11
Örebro,11
Brügge,10
Demmin,10
Genazzano,10
Hørsholm,10
Lundenæs,10
Skelskør,10
Stege,10
Tours,10
Vejle,10
Ørkild,10
Bautzen,9
Compiègne,9
Dragsholm,9
Haderslev,9
Itzehoe,9
Løgum kloster,9
Skänninge,9
Sternberg,9
Sølvesborg,9
Templin,9
Upsala,9
Deventer,8
Dortmund,8
Femern,8
Galten herredsting,8
Kalvslund herredsting,8
Kampen,8
Middelsom herredsting,8
Putbus,8
Rendsborg,8
Rimini,8
Ringsted landsting,8
Skam herredsting,8
Stuhm,8
Windsor,8
[Odense],8
[Ribe],8
Cîteaux,7
Esrom,7
Hellum herredsting,7
Korsør,7
Köln,7
Køge,7
Lollands landsting,7
Lunds landsting,7
Lysgård herredsting,7
Nyhus,7
Nykøbing Falster,7
Segeberg,7
Stegeborg,7
Taarnborg,7
Thorn,7
Varde sysselting,7
[Danzig],7
[Sjællands landsting],7
Æbelholt,7
Akershus,6
Benevent,6
Doberan,6
Flakkebjerg herredsting,6
Foran Helsingborg,6
Gudhem,6
Heidelberg,6
Holbo herredsting,6
Holstebro,6
Lindholm,6
Løgum,6
Musse herredsting,6
Nottingham,6
Prenzlau,6
Pîtres,6
Ralswiek,6
Randers byting,6
Rendsburg,6
Slagelse herredsting,6
Slet herredsting,6
Tangermünde,6
Trälleborg,6
Voer herredsting,6
[Lund],6
[Roskilde],6
[Slesvig],6
Åbenrå,6
Aabo sysselting,5
Aalevad,5
Antvorskov,5
Bygholm,5
Djurs Nørreherredsting,5
Falkenberg,5
Flyinge,5
Genova,5
Hads herredsting,5
Hindsgavl,5
Middelfart,5
Napoli,5
Nyborg slot,5
Nîmes,5
Reinfeld,5
Sallinge herredsting,5
Skåne landsting,5
Slagelse byting,5
Spandau,5
Tommerup,5
Troyes,5
[Anagni],5
[Flensborg],5
[Ringsted],5
Ars herredsting,4
Assens,4
Aventin,4
Barth,4
Bergen paa Rügen,4
Bern,4
Brudersdorf,4
Båg herredsting,4
Båhus,4
Eutin,4
Ferentino,4
Frascati,4
Friedland,4
Gallicano nel Lazio,4
Gislum herredsting,4
Gjern herredsting,4
Grønsund,4
Hald herredsting,4
Hids herredsting,4
Hindsted herredsting,4
Jørgensborg,4
Kalø,4
Krakow,4
Kungsbacka,4
Københavns slot,4
Langwedel,4
Lø herredsting,4
Løgumkloster,4
Lübeck],4
Lüchow,4
Magdeburg,4
Mainz,4
Merløse herredsting,4
Minden,4
München,4
Neumünster,4
Novgorod,4
Nummis by,4
Oldenburg,4
Opensten,4
Orléans,4
Ramsø herredsting,4
Ravnsborg,4
Rinds herredsting,4
"Rom, det pavelige skatkammer",4
Sabro herredsting,4
Saint-Denis,4
Schwan,4
Segni,4
Servais,4
Siena,4
Simrishamn,4
Skovby herredsting,4
Strängnäs,4
Trondheim,4
Vadstena kloster,4
Varde,4
Vends herredsting,4
Verona,4
Vindinge herredsting,4
Växjö,4
Weissenstein,4
Winchester,4
Wolgast,4
Worms,4
[København],4
[Marienburg],4
[Rostock],4
[Stralsund],4
[Wismar],4
Århus domkirke,4
Öresten,4
Aabenraa,3
Aarhus domkirke,3
Abrahamstrup,3
Alvastra,3
Arboga,3
Bedford,3
Bjernede,3
Blangstedgaard,3
Bogø,3
Borgen Helsingborg,3
Bornholm,3
Bornhøved,3
Bosjö,3
Bruges,3
Bruxelles,3
Citeaux,3
Cività Castellana,3
Clairvaux,3
Dalby,3
Eldena,3
Esrum,3
Femernsund,3
Foran Ålholm,3
Framlev herredsting,3
Franciskanerklostret i Lund,3
Gadebusch,3
Gent,3
Gnoien,3
Gram herredsting,3
Gudme herredsting,3
Haderslev herredsting,3
Hammer herredsting,3
Hamneda,3
Harderwijk,3
Havelberg,3
Helsingborg slot,3
Hiddensee,3
Hildesheim,3
Hjørring,3
Jelling sysselting,3
Kalundborg slot,3
Kalvehave,3
Kirchen,3
Kronstadt i Würzland,3
Kungälv,3
Lambeth,3
Landskrona byting,3
Lille herredsting,3
Lundegård,3
Lybæk,3
Merseburg,3
Metz,3
Mölln,3
Næstved byting,3
Onsjø herredsting,3
Pisa,3
Pistoia,3
Preetz,3
Quierzy,3
Ratzeburg,3
Reading,3
Reftele,3
Rheden,3
"Rom, San Pietro",3
Ryd kloster,3
S.-Germain-en-Laie,3
Savonnières,3
Schaprode,3
Schönberg,3
Senlis,3
Serridslev,3
Sigtuna,3
Skarresholm,3
Skast herredsting,3
Skeninge,3
Slesvig by,3
Soissons,3
Stettin,3
Stevns herredsting,3
Stäkeborg,3
Sunds herredsting,3
Svartsjö,3
Sæby,3
Sønderhald herredsting,3
Sülz,3
Tata i Ungarn,3
Thun,3
Todi,3
Tusey,3
Urnehoved landsting,3
Utrecht,3
Ved Kalundborg,3
Vedbygård,3
Vemmetofte,3
Vendsyssel sysselting,3
Vendsyssels ting,3
Ver,3
Viborg byting,3
Vilmnitz,3
Warin,3
Weiden,3
Woodstock,3
Würzburg,3
Zutphen,3
[Breslau],3
[Lubeck],3
[Lyon],3
[Malmø],3
[Rom],3
[S. Pietro i Rom],3
[Sjællands] landsting,3
[Vienne],3
[Vordingborg],3
v. Vindinge å,3
Åbo sysselting,3
Åby,3
Ågård,3
Ålborg byting,3
Aachen,2
Aggarp,2
Albue Havn,2
Alsted,2
Ampel (Ambla),2
Amsterdam,2
Aringsås,2
Artlenburg,2
Attigny,2
Axevalla,2
Ballum,2
Bergen (Rügen),2
Bergen på Rügen,2
Berlin,2
Bispegården i Roskilde,2
Bjerge herredsting,2
Bjærge Herredsting,2
Björnö,2
Borgen Axevall,2
Bornhöved,2
Brugge,2
Brusk herredsting,2
Buxtehude,2
Börringe,2
Bützow,2
Carpentras,2
Castrum Plebis,2
Caversham,2
Chalon-sur-Saône,2
Château-neuf sur Loire,2
Corbeny,2
Cour-Dieu,2
Dijon,2
Dirschau,2
Dünamünde,2
Eckernförde,2
Ekholm,2
Ellested,2
Ellinge,2
Fakse herredsting,2
Falsters landsting,2
Fjends herredsting,2
Flynge,2
Frankfurt am Main,2
Frosta herredsting,2
Froste herredsting,2
Färingsö,2
Fürstenau,2
Gedser,2
Genua,2
Genève,2
Getinge,2
Gjushult,2
Gl. Estrup,2
Goslar,2
Gottorp slot,2
Grimstrup,2
Grottaferrata,2
Grønholt,2
Guben,2
Gulbergshede,2
Gunderslevlille,2
Hagenskov,2
Halberstadt,2
Hammar,2
Hanerau,2
Har sysselting,2
Haraldsborg,2
Hardeberga,2
Harjagers herredsting,2
Hattula,2
Hedeby,2
Heiligenhafen,2
Heilsberg,2
Helsingborg Slot,2
Hing herredsting,2
Hjulby,2
Holbæk byting,2
Horns herredsting,2
Hunehals,2
Jerslev herredsting,2
Kapitelhuset i Ribe,2
Kapitelhuset ved Ribe domkirke,2
Kastelholm,2
Kennington,2
Knardrup,2
Kremmen,2
Krenkerup,2
Københavns rådhus,2
Landskrona,2
Landstinget i Ringsted,2
Langelands landsting,2
Lanken,2
Laon,2
Lauenburg,2
Lellinge,2
Limoges,2
Lodi,2
