issue_place_raw,n_charters
Stockholm,2377
Vadstena,1538
Rom,1423
Uppsala,1222
Linköping,894
Avignon,796
Strängnäs,730
Åbo,674
Lund,667
Västerås,644
Kalmar,569
Skara,502
Söderköping,430
Skänninge,356
Nyköping,322
Lübeck,311
Köpenhamn,299
Arboga,247
Örebro,245
Viborg,223
Jönköping,222
Reval,212
Helsingborg,175
Lödöse,171
Stockholms slott,161
Visby,133
Lateranen,127
Malmö,127
Villeneuve,127
Växjö,122
Halmstad,118
Nådendal,117
Arnö,114
(Lübeck),111
Nydala,107
Peterskyrkan i Rom,107
Sigtuna,97
Stralsund,97
Vadstena kloster,95
Norrköping,93
Raseborg,93
Rostock,84
Varberg,84
Danzig,83
Paris,82
Tuna,82
Avignon.,81
Enköping,81
Eskilstuna,78
Roskilde,77
(Vadstena),72
Anagni,72
Oslo,71
Västervik,71
Marienburg,70
Viterbo,64
Gudhem,63
Lyon,63
Bohus,62
Florens,61
Tälje,60
Stegeborg,58
Borgholm,57
Vordingborg,57
Axvall,55
Torshälla,52
Tynnelsö,48
Visborg,48
Bergen,47
Perugia,47
Köpenhamns slott,46
Värnamo,46
Svartsjö,45
(Avignon),44
Orvieto,43
(Linköping),42
Konstanz,42
Alvastra,41
Stockholm.,41
Vreta,41
Kopparberget,40
Landskrona,40
(Lübeck.),39
Kalundborg,39
Motala,39
Riseberga,39
Åkerö,39
(Reval),38
Nyborg,38
Tönsberg,38
(Visby),37
(Stockholm),36
Falsterbo,36
Göksholm,36
Basel,35
Gripsholm,35
(Stralsund),34
Bergkvara,34
Villeneuve-lès-Avignon,34
(Rom),33
(Uppsala),33
Julita,33
Skurusäter,33
Vårfruberga,33
Älvsborg,33
Vimmerby,32
Åbo slott,32
Åhus,32
Riga,31
Wismar,31
Kjula ås,30
Tingvalla,30
Askeby,29
Södertälje,29
Trondheim,29
Varnhem,29
Westminster,29
Hedemora,28
Siena,28
Ekholmen,27
Köping,27
Nydala kloster,27
Oppunda häradsting,27
Säckestad,27
Hov,26
Kustö,26
Stegeholm,26
Oviken,25
Skokloster,25
Ettak,24
Munktorp,24
Rönö,24
Stralsund.,23
Tofta,23
Borgå,22
Riseberga kloster,22
Torpa,22
(Söder-)Tälje,21
Bro,21
Brunflo,21
Mantua,21
Norsholm,21
Stäket,21
(Rostock),20
Helsingborgs slott,20
Julita kloster,20
Sko kloster,20
Vadstena kloster.,20
Vreta kloster,20
Flensborg,19
Händelö,19
Lindholmen,19
Lübeck.,19
Åby,19
Bologna,18
Jämtland,18
Marieborg,18
Marienburgs slott,18
Nynäs,18
Sjögerås,18
Tavastehus,18
Falem,17
Kastelholm,17
Kråkerum,17
Sunds kyrka,17
(Kalmar),16
Alsnö,16
Benhamra,16
Berg,16
Falköping,16
Greifswald,16
Kumo,16
Lidköping,16
Norberg,16
Skövde,16
Tierp,16
Vinäs,16
[Stockholm],16
Ängsö,16
Öresten,16
(Söderköping),15
Dingtuna,15
Kronoberg,15
Linköping.,15
Munkeboda,15
Ringstadaholm,15
Schwerin,15
Trögds häradsting,15
Tälje (= Södertälje),15
Vinstorp,15
Västerås slott,15
(Reval.),14
(Västerås),14
Almarestäket,14
Almarstäket,14
Anundshög,14
Bälinge,14
Ed,14
Ekhult,14
Frötuna,14
Husaby,14
Ingå,14
Jungfruhamn,14
Jönåkers häradsting,14
Läckö,14
Malma,14
Nidaros,14
Poitiers,14
Ragunda,14
Salsta,14
Skanör,14
Skällvik,14
Stäkeholm,14
Säm,14
Tumboås,14
Vetlanda,14
Visingsö,14
Ystad,14
(Stralsund.),13
(Åbo),13
Assisi,13
Brügge,13
Flensburg,13
Högsby,13
Kyrkan Santa Maria in Trastevere i Rom,13
Pisa,13
Ribe,13
Ringsted,13
Sundby,13
Tuhundra häradsting,13
Värmland,13
Västervik (Gamleby),13
[Kalmar],13
[Vadstena],13
(Lund),12
Brunnsbo,12
Dåvö,12
Eka,12
Ekholm,12
Gråbrödraklostret i Stockholm,12
Hogstad,12
Husby,12
Kumla,12
Köln,12
Laholm,12
Montefiascone,12
Oppunda ting,12
Rieti,12
Skärlunda,12
Söderby,12
Tumbo ås,12
Tun,12
Ulvåsa,12
Venngarn,12
Vik,12
Wenden,12
[Rom],12
u.o.,12
Örebro slott,12
(Norrköping),11
(Skara),11
Berga,11
Bjärka,11
Björnö,11
Fiholm,11
Hamneda,11
Kalmar slott,11
Kumla kyrka,11
Lagnö,11
Lindholm,11
Narva,11
Novgorod,11
Odense,11
Ryd,11
Segersjö,11
Sko,11
Snevringe häradsting,11
Stavanger,11
Sveg,11
Uppsala.,11
Österby,11
(Arboga),10
(Biskops-)Arnö,10
(Malmö),10
Bergenhus,10
Broby,10
"Eksjö (Vallsjö sn, Västra härad, Njudung)",10
Fagrahed,10
Genua,10
Gränna,10
Kungsbacka,10
Lena,10
Näs,10
Revsund,10
Sjundeå,10
Skofteby,10
Säby,10
Sölvesborg,10
Torp,10
Tusculanum,10
Valkebo häradsting,10
Väsby,10
Ålholm,10
Ösen,10
(Motala.),9
(Vadstena?),9
Akershus,9
Askeby kloster,9
Citeaux,9
Dorpat,9
Ekeby,9
Fågelvik,9
Gamla Västervik,9
Gamleby,9
Helsingör,9
Horn,9
Hästholmen,9
Hölebo häradsting,9
Jönåkers ting,9
Kleva,9
Mariefred,9
Marstrand,9
Mora,9
Putzig,9
Riati,9
Rom?,9
Skärkind,9
Skånes landsting,9
Sund,9
Tivoli,9
Torsö,9
Ulleråkers ting,9
Vadstena.,9
Varbergs slott,9
Villeneuve.,9
Östra Rekarnes ting,9
Aspenäs,8
Dalby,8
Ekolsund,8
Flyinge,8
Fållnäs,8
Förberg,8
Gottorps slott,8
Hammershus,8
Helsinge,8
Ingåsa,8
Karis,8
Kronoborg,8
London,8
Lucca,8
Maribo,8
Montefiascone.,8
Munsö,8
Rackeby,8
Ronneby,8
Rävelsta,8
Slagelse,8
Sonstorp,8
Svinstad,8
Söderköping.,8
Varnhems kloster,8
Viborgs slott,8
Vingåker,8
Virmo,8
Vårfruberga kloster,8
[Malmö],8
Ås,8
Ås kloster,8
Åsaka,8
Österrekarne ting,8
(Skänninge),7
(Strängnäs),7
Aringsås,7
Aska häradsting,7
Bjurum,7
Bogesund,7
Bollnäs,7
Eklöt,7
Erikstad,7
Hagunda ting,7
Hamburg,7
Holm,7
Hossmo,7
Kangasala,7
Kustö slott,7
Lit,7
Ljungby,7
Lyckå,7
Lytisberg,7
Långholmen,7
Motala ting,7
Neapel,7
Näsby,7
Näsbyholm,7
Odensvi,7
Opensten,7
Oppunda,7
Ringshult,7
Simbo ting,7
Svartlösa ting,7
Syon kloster,7
