issue_place_raw,n_charters
Skurusäter,33
Kjula ås,30
Tingvalla,30
Stegeholm,26
Sko kloster,20
Händelö,19
Sjögerås,18
Falem,17
Benhamra,16
Munkeboda,15
Trögds häradsting,15
Vinstorp,15
Tumboås,14
Stäkeholm,14
Jönåkers häradsting,14
Säm,14
Jungfruhamn,14
Almarstäket,14
u.o.,12
Tumbo ås,12
Brunnsbo,12
Sko,11
Skofteby,10
Fagrahed,10
Tusculanum,10
Ösen,10
Bergenhus,10
Östra Rekarnes ting,9
Jönåkers ting,9
Gamla Västervik,9
Riati,9
Ingåsa,8
Österrekarne ting,8
Rävelsta,8
Fållnäs,8
Tommarp,7
Lytisberg,7
Österrekarnes tingställe,7
Motala ting,7
Simbo ting,7
Eklöt,7
Opensten,7
Ringshult,7
Syon kloster,7
”Harakirs” ting,7
”prioratus de Grausello”,7
Slättemo ting,6
Ärkebiskopsgården (Biskops-)Arnö,6
Källunda,6
Stockholms gråbrödrakloster,6
Eklöts ting,6
Almare-Stäket,6
Stalbergs ting,6
Stensta,6
Sundholm,6
Lunds landsting,6
Aspnäs,6
Hinsekind,6
Örboholm,6
Hogstads ting,6
Brynolfsbo,6
Gille,6
"Skara, gråbrödraklostret",6
Peterskyrkan Rom,6
Sunnerbo häradsting,5
Eldsund,5
Skultuna ting,5
Refteled,5
Källslöt,5
Nummis by,5
Rossvik,5
Tandla,5
Hästeryd,5
Stäkeborg,5
Marienkron,5
Ljunga ting,5
Skiringe,5
Toftaholm,5
Kusto,5
Silverberget,5
Biskopsgården Nor (Norsholm),5
(Bankekinds härad),4
Kyrkan Santa Maria,4
Österrekarnes ting,4
Hanholmen,4
(Österrekarnes)?tingsplats,4
Boberg,4
Kullöga,4
Trögds ting,4
Långhundra härads tingsställe,4
Vargarn,4
Marienwold,4
Edsholm,4
Håbo härads tingsställe,4
Änga,4
Fånö,4
Slestad,4
Stockholms rådstuga,4
Äppleholm,4
Ulfsby,4
Gärds häradsting,4
Aspalöt,4
Tjurbo häradsting,4
Forberg,4
Lagmansö,4
Eknaholm,4
Frosta häradsting,4
Harakers ting,4
Kolhögen,4
Skeppet Valentin,4
Hallarne,4
Kastellholm,4
Tönsbergshus,4
Ryttern,4
Framför Helsingborgs slott,4
På Slättemo ting i,4
Westminister,3
Salon i Arles’ stift.,3
Ärkebiskopsgården på (Biskops-)Arnö,3
Lunds stadsting,3
Bjärkaholm,3
På (Österrekarnes) häradsting,3
Bredestads ting,3
Spolstad,3
Skattna ting,3
Hännebjörke,3
Oppunda härads tingsställe,3
Stigtomta ting,3
Skälby,3
Gullbergshed,3
Håbo häradsting,3
Trolleborg,3
borgen Konungsberg,3
Lundboberg,3
Kavlås,3
"Rom, Peterskyrkan",3
Rumblaborg,3
Västbo häradsting,3
Mariuborg,3
Räfsnäs,3
Göinge häradsting,3
Tingsstället Fagrahed,3
Skoftaby,3
Öster-Rekarne tingsställe,3
Vaksala tingsställe,3
Eklöts tingsställe,3
Ekenäs,3
Risla,3
Rysla,3
Norrbo härads tingsställe,3
Bragnum,3
[Skärkinds ting],3
Hellestad,3
Skattna,3
Vesilaks,3
Haliko,3
Stenby,3
Skavastadhom,3
Stekeborg,3
Bråbo härads ting,3
”Ryzla”,3
Bergsätra,3
Kullöga tingsplats,3
Hareberg,3
Stola,3
"Gråbrödraklostret, Stockholm",3
Malmö byting,3
Kyro,3
S:ta Klara kloster,3
Ragunda ting,3
Alsne,3
Bälinge hd:s tingställe,3
Vinzatorp,3
Skelskör,3
Nya Lödöse,3
”Hakas”,3
Stavsåkra ting,3
Kronobäck,3
Domsmo,3
Vinzetorp,3
Vängarn,3
Enås,3
Askaby,3
Undersåkers skatteting,3
Kolsta,3
Söderköpings hospital,3
Östvattnet (Revsund),3
Djursnäs,3
Fagranäs,3
Ringvidhult,3
Fogelvik,3
Framför Ålholm (på Lolland),3
På Bankekinds,3
Viggeby,2
(Östra) Aros (1),2
Sundholms slott,2
Österrekarnes,2
Eknön vid,2
Skurusäters ting.,2
(Aska häradsting),2
Satterstad i Häradshammars socken,2
Sunnerbo ting,2
(Våla häradsting),2
Skattna tingsställe,2
Näsby i,2
På tinget i Skurusäter,2
På tinget i Lagunda,2
(Söder-)Tälje stad,2
Paltavuori,2
Kärsösund,2
”Härssby”,2
Nürnberg i Bambergs stift,2
Österrekarne häradsting,2
Aska härads tingsplats,2
Torset,2
Svingarn,2
Folklandsting,2
Långhundra härads tingsstad,2
Petsnäs,2
Risla ting,2
Gälakvist,2
Påbodanäs,2
Dingtuna ting,2
Kaunissar gård,2
Ryslo ting,2
Flinö,2
Konungsberg,2
”Rytzlo ting”,2
Oppunda härads tingställe,2
Vemmenhögs häradsting,2
Norunga,2
Gilberga,2
Hjelmseryds kyrka,2
S:ta Klara kloster vid Stockholm,2
Nykjöbing,2
Skurusäters ting,2
Säckstad,2
Måsänder,2
Lästa,2
Västbo ting,2
Arnestad,2
Bulsjö,2
Markestad,2
Åkers härads tingställe,2
Vadsbro tingsställe,2
Skurusäters tingsställe,2
Fernebo,2
Hälla,2
”Dynlu”,2
Stenhammar,2
Lankis by,2
Almö,2
Kimitto,2
Vads kyrka,2
Ryzla,2
Molanda,2
Håbo hd:s tingsställe,2
Sävsund,2
Nyanäs,2
Oppensten,2
Ö. Rekarne hd:s tingsställe,2
Wordingborg,2
Tuhundra härads tingsstad,2
”Dymmu”,2
Skärlunda ting,2
Fästered,2
Fästared,2
Väse härad,2
Kælslöt,2
Kallundborg,2
Frötuna ting,2
Ulleråkers tingsställe,2
”Harakir”,2
Esrom,2
Lagtinget på ”Baholma”,2
Finnströms kyrka,2
”Laalands (Lollands) Albue”,2
”Haffnis” (Köpenhamn),2
Hästryd,2
Vifolka häradsting,2
Birkkala,2
”Hæstrydh”,2
Neu Stettin,2
Högs kyrka,2
Hoberg,2
Aylos,2
Aspanäs,2
(Ytre Törs tingsplats),2
Harakir,2
Tångby,2
Fynbo landsting,2
Stålberga ting,2
Övre Törs ting,2
”Rydzla”,2
Hårstorp,2
Liderne,2
”Hallelev”,2
Memmings härads tingsplats,2
”Langarydh”,2
S. Karins socken,2
Svedja by,2
Lunds byting,2
Svartolöt,2
Eriksstad,2
Klosterholmen vid Västerås,2
Selö,2
Lösings härads tingställe,2
Skillöt,2
Brandaborg,2
"Gåshög, Västbo hd:s tingsplats",2
"Stockholm, Gråbrödraklostret",2
Svartalöt,2
Svartalöts ting,2
Alsheda,2
Frölanda,2
Nybble i Torsåkers härad,2
Kloxåsen,2
Österrekarnes häradsting,2
Kilagård,2
(Rönö häradsting),2
Valkebo härads ting,2
Köpberg,2
Rödsten,2
Torna häradsting,2
Alfta lagmansting,2
Södermalm vid Stockholm,2
Valsta,2
(Mordvik),2
Ovikens vapenting,2
Bollnäs ting,2
Kungssäter,2
Åkers hd:s tingställe,2
Stockholms rådhus,2
Kalmar rådhus,2
Bobergs hd,2
Vinsarp,2
Näsholm,2
(Älholmen),2
Noraskog,2
Kulla,2
”Vinzetorp”,2
Öklitta,2
Hacksta,2
Lima,2
Åbo domkyrkogård,2
trol. Västerås,2
Hjälmaryd,2
Vika kyrkby,2
Lockne skatteting,2
Folkarby,2
Barkestorp,2
Hunehals,2
Rystads klockaregård,2
Grisetorp,2
(Lagunda tingställe),2
Slättemo,2
Vinda (Windau),2
Söder Tälje,2
Askims häradsting,2
Tensta,2
Nysätra,2
Strand,2
Herrsäter,2
Nya Västervik,2
Vindztorp,2
(Österrekarne ting),2
Ekeby på Selaön,2
Ryda,2
Ottinge,2
Sundsholm,2
Ågården,2
Lappwesi socken,2
Steninge,2
Hindsekind,2
Bjurhem,2
"[Eksjö, Vallsjö sn, Västra härad, Njudung]",2
Pojko,2
Swnsholm,2
Helgeandsholmen,2
Onsjö häradsting,2
Ågården (i Råda sn),2
Hospitalet vid Söderköping,2
Kungsbro,2
Esroms kloster,2
Revsunds skatteting,2
Torslunda,2
Skärkinds härads tingsställe,2
Gladhammar,2
Helgeandshosp. vid Söderk.,2
”Anross”,2
(S:ta Klaras kloster vid Stockholm),2
Kulmsee,2
Gamla Västervik (Gamleby),2
Chiusi,2
Petrioli,2
(Nomentano),2
Nyhuset,2
Citaeaux,2
Castrum Plebis,2
Svenstorp,2
Nord-Strand,2
Kockenhusen,2
Ön Älgöhorn,2
Slätteryd,2
Stockholms rådsstuga,2
Skanör och Falsterbo,2
Falsterbohus,2
"Kyrkan Santi (XII) Apostoli, Rom",2
Hackås vapenting,2
Hackås skatteting,2
Toftnäs,2
Lindvid,2
Hornby,2
Pienza,2
Vrak,2
Utanför Kallundborg,2
Rackaby,2
Fröberga,2
(Östra) Aros *,2
Granby,2
Ärestad,2
Örberga,2
Lugdunum,2
Västlandaholm,2
Norrvika,2
Håbo hundares tingsplats,2
Eldena,2
Olof Bros gård,2
Karsnäs,2
(Biskops-)Ön,2
På häradstinget i Skurusäter,2
Aspnäs.,2
Bjärkaholm.,2
Stavern,2
Zutfen,2
Stäkeholm.,2
Vid Stockholm,2
”Östraaros”,1
”Östraros”,1
Juskön vid Söderköping,1
Östra Aros,1
Ørkild.,1
Össjö,1
(?Kongs)vinger,1
Hamars stad.,1
Pera (på Cypern),1
(Västbo häradsting),1
Wallingford,1
S:t Lars kyrka,1
Humlarum,1
Teje (vid Tönsberg),1
”Rävsholms fäste”,1
(Söder)bärke,1
Tuhundra häradsting vid Dingtuna kyrka,1
”aros”,1
Forsnäs,1
Vestlands kyrka,1
Guben,1
Ör,1
Eknön vid Stegeborg,1
”Ragnholm-,1
”Swartasund”.,1
Kungsgården i,1
Lindö.,1
Huvudstad i Vadstena socken,1
(Olands häradsting),1
Sakristian i Stenkyrka kyrka på Gotland,1
”Waldinbyerh”,1
Sunnerbo ting.,1
(Memmings häradsting),1
Idö?1,1
Hummelsätter,1
Alunda ting,1
Vid (Söder-)Tälje,1
(Quisisana vid Castellammare di Stabia),1
Quisisana vid Castellammare di Stabia,1
Sockenkyrkan (i Bällefors),1
”Sutarsåås”,1
Roma kloster på Gotland,1
Rättartinget,1
Kangaris by,1
Prästgården vid Tegneby kyrka,1
Brunnby,1
Sundby i Forsa socken,1
Häradstinget,1
Krossekärr på Tjörn,1
Rågösund,1
Gårdeby kyrka,1
På ’danehof’,1
Lagtinget på Båholmen,1
Skarabiskopens gård,1
Yxnö i Östkind,1
Yxnö på Vikbolandet,1
Yxnö i Häradshammars socken på Vikbolandet,1
(Bankekinds häradsting),1
Svansö (i Bottnaryds socken),1
Västerås landsting,1
Lerboga,1
Runsö,1
(Biskops-)Arnö i,1
Lundbobergs tingsplats,1
Ruds gård,1
Stalberg,1
Sätra,1
Ärkebiskopsborgen,1
Vädersholm,1
[Tjust härads tingsplats],1
Hanekinds härads,1
Ärkebiskopsborgen Hammershus,1
Kungshusby1,1
Benestad,1
Häggeby kyrka,1
Naskov,1
Kimito kyrkby,1
”in Candia” (Kreta),1
Norra Lund i Flistads socken,1
Lida,1
