issue_place_raw,n_charters
Ålstrup,17
Næsby,11
Morsø Nørreherreds ting,11
Ørkild,10
Løgum kloster,9
Æbelholt,7
Esrom,7
Hellum herredsting,7
Lysgård herredsting,7
Løgum,6
Holbo herredsting,6
Randers byting,6
Slet herredsting,6
Voer herredsting,6
Troyes,5
Aalevad,5
Skåne landsting,5
Djurs Nørreherredsting,5
Servais,4
Winchester,4
Orléans,4
Saint-Denis,4
Worms,4
Mainz,4
Magdeburg,4
Aventin,4
Segni,4
Verona,4
Ferentino,4
Grønsund,4
Jørgensborg,4
Neumünster,4
Minden,4
Assens,4
Trondheim,4
Eutin,4
Langwedel,4
Schwan,4
Brudersdorf,4
Krakow,4
Wolgast,4
Oldenburg,4
München,4
Barth,4
Bergen paa Rügen,4
Båhus,4
Weissenstein,4
Friedland,4
Strängnäs,4
Kungsbacka,4
Lüchow,4
Simrishamn,4
Öresten,4
Skovby herredsting,4
Växjö,4
Opensten,4
Århus domkirke,4
Hald herredsting,4
Nummis by,4
Siena,4
Vindinge herredsting,4
Vends herredsting,4
Novgorod,4
Bern,4
"Rom, det pavelige skatkammer",4
Gallicano nel Lazio,4
Quierzy,3
Soissons,3
Savonnières,3
Tusey,3
Ver,3
Senlis,3
Kirchen,3
Metz,3
Utrecht,3
Hildesheim,3
Würzburg,3
Merseburg,3
Sæby,3
Cività Castellana,3
Reading,3
Lambeth,3
Woodstock,3
Lybæk,3
Todi,3
S.-Germain-en-Laie,3
Bedford,3
Schaprode,3
Thun,3
Bornhøved,3
Aarhus domkirke,3
Clairvaux,3
[Lubeck],3
Bruges,3
Sigtuna,3
Zutphen,3
Skeninge,3
Ryd kloster,3
Preetz,3
Åby,3
Kungälv,3
Vilmnitz,3
Arboga,3
Stäkeborg,3
Warin,3
Gadebusch,3
Sülz,3
Havelberg,3
Eldena,3
Bogø,3
Skast herredsting,3
Vendsyssels ting,3
Ratzeburg,3
Bosjö,3
Hiddensee,3
Mölln,3
Skarresholm,3
Vendsyssel sysselting,3
Gnoien,3
Lille herredsting,3
Stettin,3
Onsjø herredsting,3
v. Vindinge å,3
Schönberg,3
Bruxelles,3
Harderwijk,3
Sunds herredsting,3
Weiden,3
Alvastra,3
Ågård,3
Vedbygård,3
Rheden,3
Dalby,3
Borgen Helsingborg,3
Hammer herredsting,3
Reftele,3
Urnehoved landsting,3
Gram herredsting,3
Hamneda,3
Esrum,3
Gent,3
[Breslau],3
Svartsjö,3
Pisa,3
Pistoia,3
Landskrona byting,3
Slesvig by,3
Femernsund,3
"Rom, San Pietro",3
Tata i Ungarn,3
Franciskanerklostret i Lund,3
Kronstadt i Würzland,3
Aachen,2
Corbeny,2
Attigny,2
Quierzy-sur-Oise,2
Limoges,2
Chalon-sur-Saône,2
Laon,2
Pavia,2
Reims,2
Goslar,2
Sutton,2
Paderborn,2
St.-Remi [i Reims],2
Sens,2
Stolp,2
Grimstrup,2
Grønholt,2
Weissensee,2
Oxford,2
Caversham,2
Tower,2
Lorris,2
Mecklenburg,2
Dünamünde,2
Spoleto,2
Vitry-aux-Loges,2
Terni,2
Kremmen,2
Cour-Dieu,2
Château-neuf sur Loire,2
Store Jyndevad,2
Grottaferrata,2
Genua,2
Montpellier,2
Milano,2
Vitskøl,2
Ampel (Ambla),2
Halberstadt,2
Dirschau,2
Ørkil,2
Börringe,2
Wittenburg,2
Alsted,2
Castrum Plebis,2
Gulbergshede,2
Flynge,2
Prémontré,2
Färingsö,2
Bergen (Rügen),2
Neuencamp,2
Artlenburg,2
Plympton,2
Getinge,2
Eckernförde,2
Morup,2
Østrup,2
Marstrand,2
Gjushult,2
Bützow,2
Wosel,2
Carpentras,2
Buxtehude,2
Uelzen,2
Welin,2
Hing herredsting,2
Neukloster,2
Pasewalk,2
Lanken,2
Neubrandenburg,2
Hanerau,2
Vilno,2
Hunehals,2
Bjærge Herredsting,2
Nabburg,2
Vendsyssel ting,2
Lauenburg,2
Fürstenau,2
Trento,2
Schlutup,2
Skällvik,2
Pernau,2
Bergen på Rügen,2
Kennington,2
Harjagers herredsting,2
Berlin,2
Trøjborg,2
Rhodos,2
Nebbe,2
Thy bygdeting,2
Frosta herredsting,2
Froste herredsting,2
Nydala,2
Ved felthæren i Skåne,2
Vester herredsting Før,2
Har sysselting,2
Ås,2
Hammar,2
Ålevad,2
Lunde herredsting,2
Aggarp,2
Guben,2
Stavern,2
Rörchen,2
Amsterdam,2
Sta. Maria Maggiore i Rom,2
Zierikzee,2
Dijon,2
Skåne,2
Landstinget i Ringsted,2
Københavns rådhus,2
Viborg (dom)kirke,2
Heilsberg,2
Ekholm,2
Kapitelhuset i Ribe,2
Heiligenhafen,2
Oldesloe,2
Skanør og Falsterbo,2
Malmø rådhus,2
Århus byting,2
Sobbowitz,2
Borgen Axevall,2
Osterhof,2
Kastelholm,2
Frankfurt am Main,2
Lütjenburg,2
Ryde,2
Solvik,2
Scharpau,2
Aringsås,2
Thorshälla,2
Axevalla,2
Sääksmäki,2
Hattula,2
Skärlöv,2
Lynn,2
Tommarp,2
Gunderslevlille,2
Ørum,2
Neumarkt,2
Lodi,2
Landskrona,2
Bispegården i Roskilde,2
Ås kloster,2
Raseborg,2
Skemminge,2
Thisted,2
Genève,2
Rundtoft,2
[Nørlyng herredsting eller Ommer sysselting?],2
Lollands Albue,2
Morsø Sønderherreds ting,2
Fjends herredsting,2
Haraldsborg,2
Hardeberga,2
Rastenburg,2
Ny Stettin,2
Ofen,2
Kapitelhuset ved Ribe domkirke,2
Tirnau,2
Tata,2
Odense Sortebrødrekloster,2
Bornhöved,2
Albue Havn,2
Skam herred,2
Ellinge,2
Stavanger,2
Jerslev herredsting,2
"Rom, San Lorenzo in Damaso",2
Stevns herred,2
"Rom, San Crisogono",2
Lunkende,2
Clovesho,1
Canterbury,1
Æt Bearwe,1
Bydictun,1
Verneuil,1
Meersen,1
Kingsbury,1
Valenciennes,1
Vannes,1
Oswaldesdun,1
Louviers,1
Saint-Quentin,1
Catin,1
Klostret Prüm,1
Asselt,1
Isles-les-Villenoy,1
[Mainz],1
Verberie,1
Petegem,1
Des Fossés,1
Cosne,1
Plélan,1
Avezac,1
Perret,1
Douzy,1
Champlitte,1
Fouron,1
Fismes,1
Pouligny,1
Melnacum,1
Granges,1
Schlettstadt,1
Waiblingen,1
Slottet i Verberie,1
Valence,1
Slottet Compiègne,1
Ivrea,1
Tribur,1
'Sitilianis villa',1
Fresnoy,1
Le Gros Dizy,1
Paris Klostret St.-Denis,1
Trosly,1
'Ruic',1
Herstal,1
Longchamp-les-Bastogne,1
Bourges,1
Ingelheim,1
Chartres,1
Wildeshausen,1
Bath,1
Fresnay,1
Wantage,1
Headington,1
King's Enham,1
Werla,1
Aylestone Hill,1
Kingston i Surrey,1
Stavelot,1
Strassburg,1
Harlebeke,1
Saint-Thierry,1
Capua,1
Utrecht. Kejserpaladset,1
Rom. Peterskirken,1
Rom. Aventin,1
Lund. St. Laurentii kirke,1
Ringsted. Vor Frue kirke.,1
Stavelot. Kapitelsalen,1
St. Laurentii kloster. Lund,1
Eggeslev(magle),1
Odense. St. Knuds kirke,1
Regensburg,1
(Sø)borg,1
Under belejringen af Crema,1
[St.-Remi i Reims],1
[Sens],1
Kirken i Ringsted,1
[Lund] St. Laurentii kloster,1
Veroli,1
Søllested,1
Sklandethorp,1
Velletri,1
Amiens,1
Thorp,1
Vellerup,1
På borgen i Havn,1
*Threlthorp,1
Østerburgh,1
Sild,1
Toscanella,1
Tarquinia,1
Silverstone,1
*Anxiotorp,1
Olstorp,1
Grobe,1
*Keldaburch,1
Pontoise,1
Hagenau,1
Grødesby,1
Salzwedel,1
*Iumshosz,1
Ratkau,1
Alatri,1
*Glustorp,1
Worcester,1
Nordhausen,1
Ukermünd,1
Fontainebleau,1
Breitenfeld,1
Montargis,1
St.-Germain-en-Laie,1
Obertheres,1
Hereford,1
Bridgnorth,1
Heisterbach,1
Hven,1
