toraid;tora_prefLabel;tora_altLabel;cadastral_unit_id;type;littera;assessment_hemmantal;parish;tora_province;tora_sweref99_n;tora_sweref99_e;tora_wgs84_lat;tora_wgs84_long;koordinatkod;tora_source;tora_source_url;toraid_url
1;Edsby;;1;skattehemman;A;1;Ed;Uppland;6600382.1671;662444.503;59.5103;17.8706;Hög;A10:42-43;https://sok.riksarkivet.se/bildvisning/R0000150_00027;https://sok.riksarkivet.se/topografi/1
1;Edsby;;2;frälsehemman;A;;Ed;Uppland;6600382.1671;662444.503;59.5103;17.8706;Hög;A10:42-43;https://sok.riksarkivet.se/bildvisning/R0000150_00027;https://sok.riksarkivet.se/topografi/1
1;Edsby;;3;frälsehemman;A;;Ed;Uppland;6600382.1671;662444.503;59.5103;17.8706;Hög;A10:42-43;https://sok.riksarkivet.se/bildvisning/R0000150_00027;https://sok.riksarkivet.se/topografi/1
1;Edsby;;4;frälsehemman;A;;Ed;Uppland;6600382.1671;662444.503;59.5103;17.8706;Hög;A10:42-43;https://sok.riksarkivet.se/bildvisning/R0000150_00027;https://sok.riksarkivet.se/topografi/1
1;Edsby;;5;klockargård;;;Ed;Uppland;6600382.1671;662444.503;59.5103;17.8706;Hög;A10:42-43;https://sok.riksarkivet.se/bildvisning/R0000150_00027;https://sok.riksarkivet.se/topografi/1
2;Törnby;;1;ospecificerad kameral enhet;I;;Ed;Uppland;6600380.7199;662049.321;59.5104;17.8637;Hög;A10:42-43;https://sok.riksarkivet.se/bildvisning/R0000150_00027;https://sok.riksarkivet.se/topografi/2
3;Törndal;;1;kronohemman;;;Ed;Uppland;6600703.2908;660209.4019;59.514;17.8314;Hög;A14:126, A10:44;https://sok.riksarkivet.se/bildvisning/90002986_00151, https://sok.riksarkivet.se/bildvisning/R0000150_00028;https://sok.riksarkivet.se/topografi/3
4;Eds prästgård;Ed;1;prästgård;E;;Ed;Uppland;6600692.3871;663269.7932;59.5127;17.8854;Hög;A10:42-43;https://sok.riksarkivet.se/bildvisning/R0000150_00027;https://sok.riksarkivet.se/topografi/4
4;Eds prästgård;Ed;2;frälsehemman;;;Ed;Uppland;6600692.3871;663269.7932;59.5127;17.8854;Hög;A10:42-43;https://sok.riksarkivet.se/bildvisning/R0000150_00027;https://sok.riksarkivet.se/topografi/4
5;Vik;;1;kronohemman;1;;Hammarby;Uppland;6603531.5492;666176.0852;59.5371;17.9389;Hög;A14:158, A10:130-131;https://sok.riksarkivet.se/bildvisning/90002986_00190, https://sok.riksarkivet.se/bildvisning/R0000150_00069;https://sok.riksarkivet.se/topografi/5
5;Vik;;2;kronohemman;2;;Hammarby;Uppland;6603531.5492;666176.0852;59.5371;17.9389;Hög;A14:158, A10:130-131;https://sok.riksarkivet.se/bildvisning/90002986_00190, https://sok.riksarkivet.se/bildvisning/R0000150_00069;https://sok.riksarkivet.se/topografi/5
5;Vik;;3;frälsehemman;3;;Hammarby;Uppland;6603531.5492;666176.0852;59.5371;17.9389;Hög;A14:158, A10:130-131;https://sok.riksarkivet.se/bildvisning/90002986_00190, https://sok.riksarkivet.se/bildvisning/R0000150_00069;https://sok.riksarkivet.se/topografi/5
5;Vik;;4;frälsehemman;4;;Hammarby;Uppland;6603531.5492;666176.0852;59.5371;17.9389;Hög;A14:158, A10:130-131;https://sok.riksarkivet.se/bildvisning/90002986_00190, https://sok.riksarkivet.se/bildvisning/R0000150_00069;https://sok.riksarkivet.se/topografi/5
5;Vik;;5;frälsehemman;5;;Hammarby;Uppland;6603531.5492;666176.0852;59.5371;17.9389;Hög;A14:158, A10:130-131;https://sok.riksarkivet.se/bildvisning/90002986_00190, https://sok.riksarkivet.se/bildvisning/R0000150_00069;https://sok.riksarkivet.se/topografi/5
5;Vik;;6;frälsehemman;6;;Hammarby;Uppland;6603531.5492;666176.0852;59.5371;17.9389;Hög;A14:158, A10:130-131;https://sok.riksarkivet.se/bildvisning/90002986_00190, https://sok.riksarkivet.se/bildvisning/R0000150_00069;https://sok.riksarkivet.se/topografi/5
6;Eggeby;;1;skattehemman;;;Hammarby;Uppland;6603505.6650;666848.5461;59.5366;17.9508;Hög;A10:132;https://sok.riksarkivet.se/bildvisning/R0000150_00070;https://sok.riksarkivet.se/topografi/6
7;Nibble;;1;skattehemman;1;;Hammarby;Uppland;6603313.6651;667636.3816;59.5345;17.9645;Hög;A14:160, A10:133;https://sok.riksarkivet.se/bildvisning/90002986_00192, https://sok.riksarkivet.se/bildvisning/R0000150_00070;https://sok.riksarkivet.se/topografi/7
7;Nibble;;2;frälsehemman;2;;Hammarby;Uppland;6603313.6651;667636.3816;59.5345;17.9645;Hög;A14:160, A10:133;https://sok.riksarkivet.se/bildvisning/90002986_00192, https://sok.riksarkivet.se/bildvisning/R0000150_00070;https://sok.riksarkivet.se/topografi/7
7;Nibble;;3;frälsehemman;3;;Hammarby;Uppland;6603313.6651;667636.3816;59.5345;17.9645;Hög;A14:160, A10:133;https://sok.riksarkivet.se/bildvisning/90002986_00192, https://sok.riksarkivet.se/bildvisning/R0000150_00070;https://sok.riksarkivet.se/topografi/7
8;Torsåker;;1;frälsehemman;1;;Hammarby;Uppland;6605255.7398;665777.1435;59.5527;17.9332;Hög;A10:134-135, A14:162-163;https://sok.riksarkivet.se/bildvisning/R0000150_00071, https://sok.riksarkivet.se/bildvisning/90002986_00195;https://sok.riksarkivet.se/topografi/8
8;Torsåker;;2;frälsehemman;2;;Hammarby;Uppland;6605255.7398;665777.1435;59.5527;17.9332;Hög;A10:134-135, A14:162-163;https://sok.riksarkivet.se/bildvisning/R0000150_00071, https://sok.riksarkivet.se/bildvisning/90002986_00195;https://sok.riksarkivet.se/topografi/8
