toraid;tora_prefLabel;tora_altLabel;parish;hundred;tora_province;note;tora_note;tora_sweref99_n;tora_sweref99_e;tora_wgs84_lat;tora_wgs84_long;tora_coordinate_accuracy;tora_source;tora_source_url;toraid_url
1;Edsby;;Ed;Sollentuna h:d;Uppland;;;6600382.1671;662444.503;59.5103;17.8706;high;A10:42-43;https://sok.riksarkivet.se/bildvisning/R0000150_00027;https://sok.riksarkivet.se/topografi/1
2;Törnby;;Ed;Sollentuna h:d;Uppland;;;6600380.7199;662049.321;59.5104;17.8637;high;A10:42-43;https://sok.riksarkivet.se/bildvisning/R0000150_00027;https://sok.riksarkivet.se/topografi/2
3;Törndal;;Ed;Sollentuna h:d;Uppland;;;6600703.2908;660209.4019;59.514;17.8314;high;A14:126, A10:44;https://sok.riksarkivet.se/bildvisning/90002986_00151, https://sok.riksarkivet.se/bildvisning/R0000150_00028;https://sok.riksarkivet.se/topografi/3
4;Eds prästgård;Ed;Ed;Sollentuna h:d;Uppland;;Vid Njursta på TK;6600692.3871;663269.7932;59.5127;17.8854;high;A10:42-43;https://sok.riksarkivet.se/bildvisning/R0000150_00027;https://sok.riksarkivet.se/topografi/4
5;Vik;;Hammarby;Vallentuna h:d;Uppland;;;6603531.5492;666176.0852;59.5371;17.9389;high;A14:158, A10:130-131;https://sok.riksarkivet.se/bildvisning/90002986_00190, https://sok.riksarkivet.se/bildvisning/R0000150_00069;https://sok.riksarkivet.se/topografi/5
6;Eggeby;;Hammarby;Vallentuna h:d;Uppland;;;6603505.6650;666848.5461;59.5366;17.9508;high;A10:132;https://sok.riksarkivet.se/bildvisning/R0000150_00070;https://sok.riksarkivet.se/topografi/6
7;Nibble;;Hammarby;Vallentuna h:d;Uppland;;;6603313.6651;667636.3816;59.5345;17.9645;high;A14:160, A10:133;https://sok.riksarkivet.se/bildvisning/90002986_00192, https://sok.riksarkivet.se/bildvisning/R0000150_00070;https://sok.riksarkivet.se/topografi/7
8;Torsåker;;Hammarby;Vallentuna h:d;Uppland;;;6605255.7398;665777.1435;59.5527;17.9332;high;A10:134-135, A14:162-163;https://sok.riksarkivet.se/bildvisning/R0000150_00071, https://sok.riksarkivet.se/bildvisning/90002986_00195;https://sok.riksarkivet.se/topografi/8
9;Dyvinge;;Hammarby;Vallentuna h:d;Uppland;;;6603931.2544;668173.9717;59.5398;17.9745;high;A10:136;https://sok.riksarkivet.se/bildvisning/R0000150_00072;https://sok.riksarkivet.se/topografi/9
10;Smedby;;Hammarby;Vallentuna h:d;Uppland;;;6600138.7423;664709.4759;59.5072;17.9104;high;A10:137;https://sok.riksarkivet.se/bildvisning/R0000150_00072;https://sok.riksarkivet.se/topografi/10
