wkt_geom;id;toraid;note;coordinate_accuracy;sweref99_n;sweref99_e;wgs84_lat;wgs84_long;x_rt90;y_rt90;id_deprecated;namn_deprecated
Point (2079057.04885438061319292 8409234.02672141790390015);37544;659;Trolig gravhög;high;6661852.121776;704731.616637;60.04262514;18.67648724;1659982.94502449;6661662.86993029;1880500027;Häverö
Point (1635956.84345490275882185 7654980.65227369125932455);20890;6170;Trelleborg;medium;6259772.744635;481279.985939;56.48203917;14.69605037;1431659.66935375;6262156.17019919;7630200002;Hönshylte
Point (1487915.65869608568027616 8088189.23407457303255796);18641;7804;Tredings stenar;high;6493416.233326;404973.256105;58.57078263;13.36617378;1358095.55348539;6496806.78654354;16611900001;Medelplana
Point (1970883.55063650663942099 8264630.85811260901391506);41962;291;Sten med inskrif? Omtvistat budskap på stenen enligt Sigge;high;6586330.613569;653616.716729;59.38756762;17.70474817;1607941.47812346;6586751.07560084;1250500007;Hilleshög
Point (1852688.02588354796171188 7917563.62441930454224348);21951;6621;Stegeholms ruin;high;6403440.151785;597751.978792;57.76236972;16.6429797;1549867.33055399;6404492.21968941;8831000113;Tinntorp
Point (1848342.18540385318920016 7692259.27235190104693174);22984;6388;Skan? Fornborg;high;6281413.934925;598300.773493;56.66650897;16.60394035;1548972.00369074;6282429.28258797;8401400003;Borg
Point (1498940.718971555121243 7944372.6509184967726469);19479;7638;Runsten;high;6417563.660923;409008.218111;57.8906077;13.46521358;1361224.14899195;6420870.26419966;15842800006;Nöre
Point (1508927.51549359620548785 7971048.30962541699409485);19188;8234;Runsten;high;6431600.168221;414629.102219;58.01775537;13.5549265;1367015.21659097;6434846.20926178;16865100001;Alvared
Point (1860588.61396295740269125 8275670.76409721374511719);23209;2759;Runsten;high;6590080.892393;597209.933328;59.43803179;16.71395189;1551567.88875519;6591185.869596;4840500006;Kapellgården
Point (1953109.66598277213051915 8478365.38149400055408478);39917;1221;Runsten;high;6693244.789403;640427.584403;60.35128069;17.54508265;1596051.84238123;6693846.61758525;3600100004;Gillberga
Point (1979112.9411881563719362 8250349.32556242123246193);41712;311;Runsten;high;6579225.70541;658117.688276;59.32217414;17.77867404;1612357.19642348;6579590.33623953;1250700019;Troxhammar
Point (1968714.17380935535766184 8264509.92314117401838303);41545;286;Runsten;high;6586224.218689;652512.777729;59.38701441;17.68526032;1606836.04402526;6586658.03962249;1250500002;Kvarsta
Point (1924369.13438140763901174 8371885.78758764266967773);39233;1530;Runsten;high;6639663.176762;628023.41798;59.87466341;17.28690206;1582990.97315522;6640405.25651801;3801500003;Österby
Point (1561094.48403802025131881 7936505.55039338674396276);24807;5427;Runsten;medium;6412765.136633;442047.747904;57.8530236;14.02355035;1394221.32681588;6415675.54727892;6802000020;Domnaryd
Point (1930216.65246574068441987 8359017.0825424874201417);39232;1531;Runsten;medium;6633301.557034;631191.61116;59.81659313;17.33943121;1586082.39100211;6634003.70807014;3801600001;Skillsta
Point (1992855.33559924876317382 8281855.75775829236954451);11304;513;Runsten;medium;6595561.671485;664439.960539;59.46627097;17.90212407;1618878.58853537;6595852.56685156;1630100010;Sollentuna
Point (1992921.6836820722091943 8279111.64182926341891289);11319;515;Runsten;medium;6594169.12878;664534.596495;59.45374491;17.90272009;1618956.35084429;6594458.63443706;1630100012;Viby
Point (1843148.2813217684160918 7683503.80687853321433067);22765;6403;Musholmen;medium;6276535.188608;595550.838382;56.62326419;16.55728272;1546164.01295711;6277581.65927943;8401500006;Lenstad
Point (2013029.74724498484283686 8414574.25244925916194916);40987;1923;Minnesmärke;medium;6662827.86544;671595.105046;60.06657157;18.08335389;1626853.3998245;6663043.17477779;3820900017;Marma
Point (1635806.46380334813147783 7655287.05017894227057695);20991;6170;Kultplats;medium;6259942.281075;481197.537951;56.48355902;14.69469948;1431579.17923136;6262326.74052542;7630200002;Hönshylte
Point (2058674.88975499547086656 8376605.39664203301072121);40611;712;Jättestenar grav;high;6644977.764027;695404.710628;59.89593535;18.49339118;1650448.98917932;6644899.9635416;1880800001;Edsbro
Point (1970489.14352529658935964 8265153.10920509696006775);41961;291;Gravstenshö? På TK Hilleshögen, egentlogen Hildishögen;high;6586588.323947;653404.765864;59.38995656;17.70120515;1607732.61114022;6587011.40256546;1250500007;Hilleshög
Point (2029372.42373084765858948 8379480.79308739397674799);40601;1595;Gra? Kolla med FMIS;medium;6645671.334831;680618.577336;59.9088885;18.23016265;1635669.10730878;6645773.81760794;3802800002;Rickeby
Point (1623625.49721308634616435 7716571.61558976024389267);21081;6222;Fornlämning;medium;6293678.533482;474662.278539;56.78633207;14.585276;1425438.0434913;6296153.11166662;7641000001;Nya Begkvara
Point (1637751.97457034722901881 7727755.47212934587150812);21095;6212;Fornlämning;medium;6299759.930803;482441.003787;56.84132341;14.7121763;1433291.47390106;6302145.23765083;7640800004;Västenhaga
Point (1637217.02241168171167374 7727973.7031617620959878);21094;6212;Fornlämning;medium;6299880.527724;482148.346916;56.84239566;14.70737075;1433000.12507274;6302269.3306703;7640800004;Västenhaga
Point (1886749.79544543381780386 8388789.95095016807317734);6507;9676;Fornborg;high;6647533.656456;608859.513739;59.95078994;16.94896179;1563918.62565448;6648510.97691976;19170100021;Borgen
Point (2041073.7697423086501658 8280433.85579836275428534);11934;166;;medium;6595990.782078;689006.97387;59.45978099;18.33527763;1643454.73763216;6595983.74141719;1170200048;Margretelund
Point (1791213.10118495766073465 8274309.51658067665994167);9099;9949;;high;6588643.455965;561877.385632;59.4318135;16.09074106;1516208.41600417;6590176.3471639;19600400007;Ulvsund
Point (1639950.98608794319443405 8045357.07432818319648504);27913;5021;;medium;6469888.179977;484318.22986;58.3695719;14.73193036;1437191.83968569;6472316.38864549;5840800010;Freberga
Point (1652256.12795065948739648 8056548.69164018798619509);27771;4998;;medium;6475733.732322;490798.360662;58.42225745;14.84246933;1443744.49740457;6478086.4354337;5840500007;Kastad
Point (1649395.59373713401146233 8057245.50350088160485029);27753;4994;;medium;6476102.475054;489298.373213;58.42553515;14.81677271;1442248.37371605;6478473.30684153;5840500003;Luckerstad
Point (1478612.79441813821904361 7934088.11477497965097427);20251;7471;;high;6412354.11769;398044.473299;57.84146671;13.28260473;1350193.05050023;6415789.00515311;15841000001;*Ving
Point (1803195.05440878286026418 8094607.43353585340082645);28699;3922;;high;6496227.723069;569642.355925;58.60083397;16.19837678;1522860.23575119;6497640.58941487;5810100202;Norrköpings stadsjordar
