wkt_geom;id;toraid;note;coordinate_accuracy;sweref99_n;sweref99_e;wgs84_lat;wgs84_long;x_rt90;y_rt90;id_deprecated;namn_deprecated
Point (1777611.04770845430903137 8283196.84822887275367975);8951;10650;Östuna gård;high;6593054.519555;554880.178723;59.47239095;15.96855173;1509262.64029436;6594673.53406929;19830100201;Forsby
Point (1784634.03870349004864693 8316981.68091950379312038);8887;10791;Östra södergården;high;6610235.168292;558188.85914;59.6262006;16.03164034;1512780.79753918;6611819.09034737;19830500022;Kölsta
Point (1784613.61649547377601266 8314032.62612262088805437);8894;10792;Östergården;high;6608743.110849;558201.684184;59.61280263;16.03145688;1512775.50586193;6610326.44048707;19830500023;Hucksta
Point (1772004.66674026707187295 8320131.13093990739434958);8875;10787;Östergården;high;6611733.870855;551767.973185;59.64050309;15.91818876;1506376.21330092;6613396.22703153;19830500018;Lärsäter
Point (1784704.35147732589393854 8316936.99869301915168762);8888;10791;Östergården;high;6610213.12206;558224.835195;59.62599764;16.03227197;1512816.51636062;6611796.60071906;19830500022;Kölsta
Point (2081545.84325295430608094 8259547.83552540652453899);41739;232;Östergården;high;6586459.693101;710187.85028;59.36430749;18.69884446;1664522.88410802;6586194.53725576;1200100459;Sollenkroka
Point (1853001.52655227365903556 8332487.89479895494878292);9993;10322;Ösby;high;6618767.255072;592631.777221;59.69655963;16.64579593;1547336.79886532;6619935.02490029;19801700007;Ösby
Point (1798042.89692265586927533 8671987.39290934801101685);3754;11522;Ödetorp;low;6785656.364168;561916.763906;61.20041512;16.15209416;1518657.24586133;6787245.49282177;21830300002;Svartbo
Point (2193855.03484722040593624 9275753.53247931599617004);2243;11954;Ödeskriven;high;7072938.64955;732514.267352;63.70702557;19.70773509;1692875.89618075;7072455.28660945;24017100113;Mullsjö
Point (2180554.4937279736623168 9275850.58625445328652859);2242;11954;Ödeskriven;high;7072552.031748;726617.823123;63.70741176;19.5882543;1686973.85110513;7072143.10708624;24017100113;Mullsjö
Point (2379266.36519238632172346 9496382.18779117986559868);1487;12014;Ödehemman;medium;7176033.298186;804952.553775;64.57144188;21.37331341;1766628.13473509;7174640.03571262;24820400233;Burvik
Point (1474551.66851073526777327 7902929.28190889582037926);6068;7162;Ödegården;high;6395792.566183;395448.569902;57.69217534;13.24612301;1347398.56525288;6399250.35582674;15830700009;Lergered
Point (1718430.17788798431865871 8494200.23647398687899113);4247;10990;Ödegår? I folio 2? Lit NB lyder till Hede;medium;6698441.953103;524059.594538;60.42157166;15.43692093;1479716.55625667;6700469.49480472;20817100012;Tolsbo
