wkt_geom;id;toraid;note;coordinate_accuracy;sweref99_n;sweref99_e;wgs84_lat;wgs84_long;x_rt90;y_rt90;id_deprecated;namn_deprecated
Point (2542868.2662212080322206 9966938.64712164923548698);280;12063;Överkalix kyrka;high;7378391.991289;850656.004392;66.32706232;22.84297429;1814929.92135856;7376420.77028144;25140100229;Grelsbyn
Point (1990292.91285317554138601 8347255.86246684938669205);38012;1645;Östuna kyrka;medium;6628576.730184;661701.418161;59.76343174;17.87910543;1616540.63687428;6628906.69306499;3803600005;Östuna
Point (1317124.6539941590745002 8306965.90663207229226828);13265;8744;Östervallskogs kyrka;high;6608980.14818;321105.550745;59.58067577;11.83193208;1275581.49975628;6613443.78748757;17650900006;Kyrkebyn
Point (1525752.37439450155943632 8012563.58206696249544621);16846;8105;Ödekyrka;high;6453347.933133;423977.921596;58.21473974;13.70606678;1376628.3671131;6456492.09870202;16862200005;Flittorp
Point (1491188.35939726373180747 7942433.23291890695691109);19803;7646;Ödekyrka;high;6416628.541094;404855.484724;57.88134602;13.39557295;1357058.30035931;6419984.24222251;15842900009;Yttre Vång
Point (1448359.1772098580840975 7932998.48973829858005047);18798;7223;Ödekyrka;high;6412216.093491;381895.869522;57.8362564;13.01083186;1334034.85342108;6415843.47907331;15831100006;Längjum
Point (1472042.37656834558583796 7931483.98769894987344742);20257;7472;Ödekyrka;high;6411058.410067;394504.573359;57.82901317;13.22358166;1346635.98505276;6414534.87764486;15841000002;Töve
Point (1353234.89967667474411428 7973905.72232493106275797);23141;6733;Ödekyrka;low;6435736.298809;332089.288065;58.03134832;12.15631593;1284482.71545051;6439970.86591428;15620400001;Gamla Lödöse
Point (1848046.66197795886546373 7692533.07245092466473579);22610;6388;Öde kyrk? S:t Knuts kapell, öde;high;6281560.548726;598134.576408;56.66786052;16.60128562;1548807.49002983;6282577.88754146;8401400003;Borg
Point (1702791.45145007246173918 8061563.89588288217782974);26692;4774;Älvestad kyrka (brann delvis upp i eldsvåda 200?0?29);high;6478386.958231;517303.731936;58.44584143;15.29643587;1470291.14340429;6480422.66998833;5830800004;Älvestad
Point (1637537.62154490384273231 8017857.58864457346498966);26276;3139;Åby kyrka;high;6455442.786914;482987.8219;58.23978087;14.71025074;1435687.88242445;6457881.43594299;5090100003;Stora Åby
Point (1836747.64519870257936418 8069584.09017011988908052);30744;4205;Å gamla kyrka enl hk;high;6483520.176336;587448.385223;58.48352355;16.49978483;1540518.4758692;6484715.77671012;5812300009;Å Prästgård
Point (2105860.89968891907483339 8359017.58319925516843796);37067;976;Vätö kyrka;high;6637479.681066;719619.837126;59.81659539;18.91727032;1674575.85263931;6637105.94247745;1882100107;Vätö
Point (1940848.92567105474881828 8367790.39627150259912014);38937;1515;Vänge kyrka;high;6637902.678218;636384.104625;59.85619386;17.43494254;1591331.98094719;6638542.57678617;3801400106;Vänge
Point (1662850.80802588444203138 8032468.50777338910847902);27175;5165;Väderstad kyrka;high;6463092.374191;496345.910217;58.30880022;14.93764296;1449142.56561606;6465373.91847382;5861200006;Väderstad
Point (2094123.60387272713705897 8396930.36636705137789249);37365;624;Väddö kyrka;high;6656134.244746;712617.685258;59.98738739;18.8118324;1667800.24407506;6655848.04791239;1880300039;Väddö
Point (1509418.10284149320796132 7982772.60316051822155714);15795;8087;Vårkulma kyrka;high;6437799.55543;415021.838421;58.07349591;13.55933352;1367482.21360604;6441043.76629036;16861700008;Vårkumla
Point (1760109.8501292543951422 8089952.57936760596930981);29005;3990;Vånga kyrka;high;6493464.661555;547180.068443;58.57904155;15.8113358;1500358.15801818;6495146.59520189;5811000004;Balderum
Point (1859103.12803511414676905 8150246.74488031398504972);21654;2243;Vrena kyrka;high;6525739.191268;598092.692905;58.86026898;16.70060755;1551673.20387163;6526817.50961401;4802700002;Vrena
Point (1628984.75979944923892617 7949604.49710090924054384);24496;5280;Vireda kyrka;high;6419370.403024;478280.783889;57.91558048;14.63341907;1430547.97444016;6421851.41769856;6040800001;Vireda
Point (2004383.66594623657874763 8335652.61974799819290638);36182;1142;Vidbo kyrka;high;6623046.295565;669072.571605;59.71090136;18.00568482;1623845.79877728;6623285.64041245;1911100008;Vidbo
Point (1832272.94368261564522982 7674179.34640225302428007);22522;6293;Vickleby kyrka;high;6271271.656115;589666.227951;56.57715451;16.4595879;1540216.04329178;6272385.95202917;8400100001;Vickleby
Point (1678058.1258452502079308 7848706.8371183518320322);23315;5526;Vetlanda kyrka;high;6365356.414657;504458.426287;57.43090561;15.07425262;1456092.81402109;6367505.82307655;6850100002;Vetlanda
