id;kommentar_tora;kommentar;framförställt;namn;efterställt;kategori;kartvolym;källa_kartakt;källa_url;toraid;toraid_url;tora_bebyggelseenhet;socken;härad;landskap;tora_sweref99_n;tora_sweref99_e;tora_wgs84_lat;tora_wgs84_long
1;;;;Aaplebärg;;bebyggelsenamn;O2;O2:64-65;;12292;https://sok.riksarkivet.se/topografi/12292;Apleberg;Murums församling;;Västergötland;;;;
2;;;;Aass häradt;;bebyggelsenamn;O2;O2:88-89;;;;;;;;;;;
3;;;;Abberåsz;;bebyggelsenamn;O2;O2:201;;7198;https://sok.riksarkivet.se/topografi/7198;Abberås;Gingri;Ås h:d;Västergötland;6404618,0081;381646,3335;57,768;13,0104
4;;ändrat till Abberåsz;;Aberåsz;;bebyggelsenamn;O2;O2:207-208;;7198;https://sok.riksarkivet.se/topografi/7198;Abberås;Gingri;Ås h:d;Västergötland;6404618,0081;381646,3335;57,768;13,0104
5;;;;Affwelåsa;ägor;bebyggelsenamn;O2;O2:84;;;;;;;;;;;
6;;;;Algustorp;;bebyggelsenamn;O2;O2:145;https://sok.riksarkivet.se/bildvisning/R0000175_00081;7116;https://sok.riksarkivet.se/topografi/7116;Algutstorp;Rångedala;Ås h:d;Västergötland;6408119,6325;389683,9038;57,8015;13,1438
7;;;;Anderz Ionsz;gård;personnamn;O2;O2:147-148;https://sok.riksarkivet.se/bildvisning/R0000175_00082;7118;https://sok.riksarkivet.se/topografi/7118;Gravryd;Rångedala;Ås h:d;Västergötland;6405392,0924;388532,1729;57,7767;13,1257
8;;;;Algustorpa;ägor ;bebyggelsenamn;O2;O2:140;https://sok.riksarkivet.se/bildvisning/R0000175_00077;7116;https://sok.riksarkivet.se/topografi/7116;Algutstorp;Rångedala;Ås h:d;Västergötland;6408119,6325;389683,9038;57,8015;13,1438
9;;;;Algutztorp;;bebyggelsenamn;O2;O2:128;;7116;https://sok.riksarkivet.se/topografi/7116;Algutstorp;Rångedala;Ås h:d;Västergötland;6408119,6325;389683,9038;57,8015;13,1438
10;;;;Ammunholt;;bebyggelsenamn;O2;O2:207-208;;7197;https://sok.riksarkivet.se/topografi/7197;Amnahult;Gingri;Ås h:d;Västergötland;6403951,4657;381635,7603;57,762;13,0105
11;;nasalstreck över e;;Amne<n>nholt;;bebyggelsenamn;O2;O2:201;;7197;https://sok.riksarkivet.se/topografi/7197;Amnahult;Gingri;Ås h:d;Västergötland;6403951,4657;381635,7603;57,762;13,0105
12;;;;Anck Siöö;;naturnamn;O2;O2:98-99;https://sok.riksarkivet.se/bildvisning/R0000175_00056;7467;https://sok.riksarkivet.se/topografi/7467;Härna;Härna;Ås h:d;Västergötland;6412983,7691;395507,1386;57,8465;13,2396
13;;;;Anders;gård i Elmestad;personnamn;O2;O2:48-49;https://sok.riksarkivet.se/bildvisning/R0000175_00031;7435;https://sok.riksarkivet.se/topografi/7435;Älmestad;Hällstad;Ås h:d;Västergötland;6419516,1988;401761,2658;57,9066;13,3422
14;;;;Anders;gård;personnamn;O2;O2:2-3;https://sok.riksarkivet.se/bildvisning/R0000175_00008;7408;https://sok.riksarkivet.se/topografi/7408;Döve;Kärråkra;Ås h:d;Västergötland;6429195,8868;405516,2505;57,9943;13,4017
15;;;;Anderß;gård;personnamn;O2;O2:149;https://sok.riksarkivet.se/bildvisning/R0000175_00083;7152;https://sok.riksarkivet.se/topografi/7152;Taryd;Toarp;Ås h:d;Västergötland;6401859,8958;388385,4171;57,7449;13,1249
16;;;;Anderß Helgeßon;i;personnamn;O2;O2:36-37;https://sok.riksarkivet.se/bildvisning/R0000175_00025;7423;https://sok.riksarkivet.se/topografi/7423;Möne;Möne;Ås h:d;Västergötland;6421207,3886;404060,8548;57,9223;13,3803
17;;skrivet av annan hand;;Andersz;i Tary;personnamn;O2;O2:155-156;https://sok.riksarkivet.se/bildvisning/R0000175_00086;7152;https://sok.riksarkivet.se/topografi/7152;Taryd;Toarp;Ås h:d;Västergötland;6401859,8958;388385,4171;57,7449;13,1249
18;;ändrat till Arfwedz av annan hand;;Andersz Arwez;gårdh;personnamn;O2;O2:151-152;https://sok.riksarkivet.se/bildvisning/R0000175_00084;7120;https://sok.riksarkivet.se/topografi/7120;Äspered;Äspered;Ås h:d;Västergötland;6403038,8478;391940,4451;57,7564;13,184
19;;;;Andersz Elffs;gård;personnamn;O2;O2:211-212;https://sok.riksarkivet.se/bildvisning/R0000175_00114;7202;https://sok.riksarkivet.se/topografi/7202;Äspered;Gingri;Ås h:d;Västergötland;6407129,6535;382436,2144;57,7907;13,0224
20;;;;Andersz Gunnars;gårdh;personnamn;O2;O2:159-160;https://sok.riksarkivet.se/bildvisning/R0000175_00088;7123;https://sok.riksarkivet.se/topografi/7123;Skänstad;Toarp;Ås h:d;Västergötland;6399468,4359;388592,9277;57,7235;13,1295
21;;;;Aplebärgs;egor;bebyggelsenamn;O2;O2:64-65;;12292;https://sok.riksarkivet.se/topografi/12292;Apleberg;;;Västergötland;;;;
