issue_place_raw,n_charters,query_name,modern_name,qid,lat,lon,country,source,confidence,note
Avignon,1025,Avignon,Avignon,Q6397,43.948611,4.808333,France,wikidata,high,
Roskilde,525,Roskilde,Roskilde,Q26563,55.641667,12.080833,Denmark,wikidata,high,
Rom,509,Roma,Rome,Q220,41.893056,12.482778,Italy,wikidata+override,curated,papal curia
Lübeck,499,Lübeck,Lübeck,Q2843,53.869722,10.686389,Germany,wikidata,high,
Lund,436,Lund,Lund,Q2167,55.708313,13.199164,Sweden,wikidata,high,
S. Pietro i Rom,429,Roma,Rome,Q220,41.893056,12.482778,Italy,wikidata+override,curated,St Peter's - papal curia
Lateranet,284,Roma,Rome,Q220,41.893056,12.482778,Italy,wikidata+override,curated,the Lateran - papal curia
København,263,København,Copenhagen,Q1748,55.676111,12.568889,Denmark,wikidata,high,
Ribe,260,Ribe,Ribe,Q322361,55.327222,8.763056,Denmark,wikidata,high,
Marienburg,205,Malbork,Malbork,Q146820,54.02846,19.04435,Poland,wikidata+override,curated,
Vordingborg,202,Vordingborg,Vordingborg Municipality,Q183572,55.008333,11.910278,Denmark,wikidata,high,
Stralsund,200,Stralsund,Stralsund,Q4065,54.309167,13.081944,Germany,wikidata,high,
Helsingborg,193,Helsingborg,Helsingborg,Q25411,56.042412,12.720996,Sweden,wikidata,high,
Firenze,177,Firenze,Florence,Q2044,43.771389,11.254167,Italy,wikidata,high,
"Rom, Santi Apostoli",159,Roma,Rome,Q220,41.893056,12.482778,Italy,wikidata+override,curated,curia sublocation
Nyborg,148,Nyborg,Nyborg Municipality,Q30013,55.29473,10.7031,Denmark,wikidata,high,
Villeneuve,143,Villeneuve-lès-Avignon,Villeneuve-lès-Avignon,Q269113,43.966389,4.795833,France,wikidata+override,curated,Avignon papacy
Rostock,130,Rostock,Rostock,Q2861,54.083333,12.133333,Germany,wikidata,high,
Lyon,127,Lyon,Lyon,Q456,45.7675,4.835,France,wikidata,high,
Westminster,127,Westminster,City of Westminster,Q179351,51.4975,-0.137222,United Kingdom,wikidata,high,
Bologna,98,Bologna,Bologna,Q1891,44.493889,11.342778,Italy,wikidata,high,
Flensborg,98,Flensborg,Flensburg,Q3798,54.781944,9.436667,Germany,wikidata,high,
Kalundborg,98,Kalundborg,Kalundborg Municipality,Q204976,55.680639,11.097972,Denmark,wikidata,high,
Slesvig,95,Slesvig,Schleswig,Q501661,54.515278,9.569722,Germany,wikidata,high,
Reval,90,Tallinn,Tallinn,Q1770,59.437222,24.745,Estonia,wikidata+override,curated,
Odense,88,Odense,Odense,Q25331,55.4,10.383333,Denmark,wikidata,high,
Sjællands landsting,88,Ringsted,Ringsted Municipality,Q503116,55.445276,11.788908,Denmark,wikidata+override,curated,landsting seat
Viterbo,85,Viterbo,Viterbo,Q13395,42.418611,12.104167,Italy,wikidata,high,
Orvieto,82,Orvieto,Orvieto,Q541,42.7182,12.108269,Italy,wikidata,high,
Ålborg,81,Ålborg,Aalborg,Q25410,57.05,9.916667,Denmark,wikidata,high,
Perugia,78,Perugia,Perugia,Q3437,43.111918,12.388548,Italy,wikidata,high,
Stockholm,74,Stockholm,Stockholm,Q1754,59.329444,18.068611,Sweden,wikidata,high,
Viborg,64,Viborg,Viborg,Q21176,56.45,9.4,Denmark,wikidata,high,
Anagni,61,Anagni,Anagni,Q116404,41.75,13.15,Italy,wikidata,high,
Århus,59,Århus,Aarhus,Q25319,56.156389,10.209722,Denmark,wikidata,high,
Varberg,57,Varberg,Varberg,Q21168,57.097293,12.273331,Sweden,wikidata,high,
Wismar,54,Wismar,Wismar,Q7030,53.8925,11.465,Germany,wikidata,high,
Slagelse,53,Slagelse,Slagelse,Q3414556,55.400833,11.35,Denmark,wikidata,high,
Konstanz,52,Konstanz,Constance,Q3834,47.663333,9.175278,Germany,wikidata+override,curated,Council of Constance 1414-18 - not Constanta in Romania
Ringsted,51,Ringsted,Ringsted Municipality,Q503116,55.445276,11.788908,Denmark,wikidata,high,
Nykøbing,49,Nykøbing,Nykøbing Falster,Q986435,54.766667,11.883333,Denmark,wikidata,high,
Søborg,48,Søborg,Søborg,Q3172579,56.0852,12.3192,Denmark,wikidata,high,
Gottorp,47,Gottorp,Gottorf Castle,Q647987,54.511667,9.541389,Germany,wikidata,high,
Kalmar,46,Kalmar,Kalmar,Q26345,56.664286,16.365633,Sweden,wikidata,high,
Danzig,43,Gdansk,Gdańsk,Q1792,54.348291,18.654023,Poland,wikidata+override,curated,
Falsterbo,41,Falsterbo,Skanör med Falsterbo,Q194512,55.395343,12.855141,Sweden,wikidata,high,
Aarhus,40,Aarhus,Aarhus,Q25319,56.156389,10.209722,Denmark,wikidata,high,
Kolding,40,Kolding,Kolding,Q27119,55.490833,9.472222,Denmark,wikidata,high,
Næstved,40,Næstved,Næstved,Q21178,55.233333,11.766667,Denmark,wikidata,high,
Randers,40,Randers,Randers,Q27168,56.456944,10.039167,Denmark,wikidata,high,
[Lübeck],40,Lübeck,Lübeck,Q2843,53.869722,10.686389,Germany,wikidata,medium,bracketed = uncertain in source
Riga,37,Riga,Riga,Q1773,56.9475,24.106944,Latvia,wikidata,high,
Sønderborg,37,Sønderborg,Sønderborg,Q21179,54.911389,9.786667,Denmark,wikidata,high,
Vadstena,37,Vadstena,Vadstena,Q265682,58.445096,14.897135,Sweden,wikidata,high,
Paris,36,Paris,Paris,Q90,48.856667,2.352222,France,wikidata,high,
Malmø,33,Malmø,Malmö,Q2211,55.583333,13.0,Sweden,wikidata,high,
[Citeaux],32,Citeaux,Cîteaux Abbey,Q843261,47.128056,5.093333,France,wikidata,medium,bracketed = uncertain in source
Bergen,31,Bergen,Bergen,Q26793,60.3925,5.323333,Norway,wikidata,high,
Montefiascone,30,Montefiascone,Montefiascone,Q176142,42.533333,12.033333,Italy,wikidata,high,
Oslo,30,Oslo,Oslo,Q585,59.913333,10.738889,Norway,wikidata,high,
Svavsted,30,Svavsted,Schwabstedt,Q28050,54.395833,9.187222,Germany,wikidata,high,
Ribe byting,28,Ribe byting,,,,,,unresolved,none,
Greifswald,27,Greifswald,Greifswald,Q4098,54.083333,13.383333,Germany,wikidata,high,
Hamburg,26,Hamburg,Hamburg,Q1055,53.55,10.0,Germany,wikidata,high,
Le Groseau,26,Malaucène,Malaucène,Q602820,44.174167,5.132222,France,wikidata+override,curated,papal summer residence near Avignon
Roskilde byting,26,Roskilde byting,,,,,,unresolved,none,
Vienne,26,"Vienne, Isère",Vienne,Q26849,45.525556,4.874722,France,wikidata+override,curated,"Council of Vienne 1311-12 - the city in Isere, not Vienna nor the departement"
Horsens,25,Horsens,Horsens,Q190235,55.861944,9.851944,Denmark,wikidata,high,
Plön,25,Plön,Plön,Q497060,54.162222,10.421389,Germany,wikidata,high,
[Næstved],25,Næstved,Næstved,Q21178,55.233333,11.766667,Denmark,wikidata,medium,bracketed = uncertain in source
Viborg landsting,24,Viborg,Viborg,Q21176,56.45,9.4,Denmark,wikidata+override,curated,landsting seat
Holbæk,22,Holbæk,Holbæk,Q28042,55.7181,11.7103,Denmark,wikidata,high,
Lödöse,22,Lödöse,Lödöse,Q1639127,58.027879,12.160024,Sweden,wikidata,high,
Haag,21,Den Haag,The Hague,Q36600,52.08,4.31,Netherlands,wikidata+override,curated,
Kiel,21,Kiel,Kiel,Q1707,54.323333,10.139444,Germany,wikidata,high,
Malmø byting,21,Malmø byting,,,,,,unresolved,none,
Skånes landsting,21,Lund,Lund,Q2167,55.708313,13.199164,Sweden,wikidata+override,curated,landsting seat - Danish territory in period
Bremen,20,Bremen,Bremen,Q24879,53.075833,8.807222,Germany,wikidata,high,
Hammershus,20,Hammershus,Hammershus,Q700384,55.271151,14.755815,Denmark,wikidata,high,
Københavns byting,20,Københavns byting,,,,,,unresolved,none,
Poitiers,20,Poitiers,Poitiers,Q6616,46.581111,0.335278,France,wikidata,high,
Uppsala,20,Uppsala,Uppsala,Q25286,59.849761,17.638947,Sweden,wikidata,high,
Prag,19,Prag,Prague,Q1085,50.0875,14.421389,Czech Republic,wikidata,high,
Ferrara,18,Ferrara,Ferrara,Q13362,44.839167,11.6175,Italy,wikidata,high,
Lucca,18,Lucca,Lucca,Q13373,43.85,10.516667,Italy,wikidata,high,
Lüneburg,18,Lüneburg,Lüneburg,Q3920,53.2525,10.414444,Germany,wikidata,high,
Meldorf,18,Meldorf,Meldorf,Q498545,54.083333,9.066667,Germany,wikidata,high,
Warnemünde,18,Warnemünde,Warnemünde,Q311849,54.17683,12.08556,Germany,wikidata,high,
Gurre,17,Gurre Slot,Gurre Castle,Q3431547,56.019499,12.505246,Denmark,wikidata+override,curated,royal castle in N Zealand where Valdemar Atterdag died 1375
Sakskøbing,17,Sakskøbing,Sakskøbing,Q13218306,54.7975,11.63639,Denmark,wikidata,high,
Slangerup,17,Slangerup,Slangerup,Q3617406,55.8467,12.1761,Denmark,wikidata,high,
Visby,17,Visby,Visby,Q54757,57.628997,18.307109,Sweden,wikidata,high,
Åhus,17,Åhus,Åhus,Q127419,55.928535,14.295047,Sweden,wikidata,high,
Ålstrup,17,Ålstrup,,,,,,unresolved,none,
Basel,16,Basel,Basel,Q78,47.560556,7.590556,Switzerland,wikidata,high,
Bohus,16,Bohus,Bohus Fortress,Q1408860,57.861944,11.999444,Sweden,wikidata,high,
Fyns landsting,16,Odense,Odense,Q25331,55.4,10.383333,Denmark,wikidata+override,curated,landsting seat
Rieti,16,Rieti,Rieti,Q13396,42.40443,12.856702,Italy,wikidata,high,
Ålholm,16,Ålholm Slot,Aalholm,Q4661399,54.664444,11.723611,Denmark,wikidata+override,curated,castle on Lolland - not the Copenhagen railway station
Dorpat,15,Tartu,Tartu,Q13972,58.38,26.7225,Estonia,wikidata+override,curated,
Nyköping,15,Nyköping,Nyköping,Q54356,58.758237,17.018466,Sweden,wikidata,high,
Skanør,15,Skanør,Skanör med Falsterbo,Q194512,55.395343,12.855141,Sweden,wikidata,high,
Aalborg,14,Aalborg,Aalborg,Q25410,57.05,9.916667,Denmark,wikidata,high,
Assisi,14,Assisi,Assisi,Q20103,43.070812,12.614998,Italy,wikidata,high,
Frankfurt,14,Frankfurt,Frankfurt,Q1794,50.110556,8.682222,Germany,wikidata,high,
Laholm,14,Laholm,Laholm,Q503050,56.504065,13.039083,Sweden,wikidata,high,
London,14,London,London,Q84,51.507222,-0.1275,United Kingdom,wikidata,high,
Lunds byting,14,Lunds byting,,,,,,unresolved,none,
Pont-de-Sorgues,14,Sorgues,Sorgues,Q538880,44.008333,4.8725,France,wikidata+override,curated,Avignon papacy
Schwerin,14,Schwerin,Schwerin,Q1709,53.628889,11.415,Germany,wikidata,high,
Sorø,14,Sorø,Sorø,Q27858,55.4366,11.5592,Denmark,wikidata,high,
Stade,14,Stade,Stade,Q6949,53.600833,9.476389,Germany,wikidata,high,
Halmstad,13,Halmstad,Halmstad,Q26521,56.673972,12.857278,Sweden,wikidata,high,
Helsingør,13,Helsingør,Helsingør,Q26881,56.036,12.6106,Denmark,wikidata,high,
Hviding herredsting,13,Hviding herredsting,,,,,,unresolved,none,
Jönköping,13,Jönköping,Jönköping,Q25415,57.783333,14.166667,Sweden,wikidata,high,
Linköping,13,Linköping,Linköping,Q25413,58.409418,15.625656,Sweden,wikidata,high,
Ribe domkirke,13,Ribe domkirke,Ribe Cathedral,Q700070,55.32804,8.7615,Denmark,wikidata,high,
Söderköping,13,Söderköping,Söderköping,Q984831,58.475012,16.326708,Sweden,wikidata,high,
Viborg slot,13,Viborg slot,,,,,,unresolved,none,
Ystad,13,Ystad,Ystad,Q28287,55.43462,13.825365,Sweden,wikidata,high,
Fabriano,12,Fabriano,Fabriano,Q13145,43.338561,12.908519,Italy,wikidata,high,
Grevesmühlen,12,Grevesmühlen,Grevesmühlen,Q517353,53.86446,11.19089,Germany,wikidata,high,
Hjortholm,12,Hjortholm,Hjortholm,Q23747111,55.89234,10.63866,Denmark,wikidata,high,
Køge byting,12,Køge byting,,,,,,unresolved,none,
Mantua,12,Mantua,Mantua,Q6247,45.156389,10.791111,Italy,wikidata,high,
Nakskov,12,Nakskov,Nakskov,Q24231,54.833333,11.15,Denmark,wikidata,high,
Nykøbing F.,12,Nykøbing F.,Nykøbing Falster,Q986435,54.766667,11.883333,Denmark,wikidata,high,
Nürnberg,12,Nürnberg,Nuremberg,Q2090,49.453889,11.0775,Germany,wikidata,high,
Ribnitz,12,Ribnitz,Ribnitz-Damgarten,Q571959,54.25,12.466667,Germany,wikidata,high,
"Rom, Santa Maria Maggiore",12,Roma,Rome,Q220,41.893056,12.482778,Italy,wikidata+override,curated,curia sublocation
Skara,12,Skara,Skara,Q939389,58.384245,13.434902,Sweden,wikidata,high,
Tønder,12,Tønder,Tønder Municipality,Q3162907,54.933333,8.9,Denmark,wikidata,high,
Braunschweig,11,Braunschweig,Brunswick,Q2773,52.269167,10.521111,Germany,wikidata,high,
Elbing,11,Elblag,Elbląg,Q104712,54.152222,19.408889,Poland,wikidata+override,curated,
Güstrow,11,Güstrow,Güstrow,Q16147,53.793889,12.176389,Germany,wikidata,high,
Houlbjerg herredsting,11,Houlbjerg herredsting,,,,,,unresolved,none,
Morsø Nørreherreds ting,11,Morsø Nørreherreds ting,,,,,,unresolved,none,
Næsby,11,,,,,,,needs_review,none,ambiguous: several Næsby in DK; DigDag has 8 candidates - needs human call
Svendborg,11,Svendborg,Svendborg,Q28031,55.059722,10.61,Denmark,wikidata,high,
Tivoli,11,Tivoli,Tivoli,Q159605,41.966667,12.8,Italy,wikidata,high,
Tranekær,11,Tranekær,Tranekær Municipality,Q1606423,54.9969,10.8444,Denmark,wikidata,high,
Tusculum,11,Frascati,Frascati,Q190963,41.816667,12.683333,Italy,wikidata+override,curated,medieval Tusculum - site near Frascati
Tønsberg,11,Tønsberg,Tønsberg,Q107392,59.298056,10.423611,Norway,wikidata,high,
Åbo,11,Turku,Turku,Q38511,60.451667,22.266944,Finland,wikidata+override,curated,Swedish realm - Finland
Örebro,11,Örebro,Örebro,Q25732,59.266926,15.196522,Sweden,wikidata,high,
Brügge,10,Brugge,Bruges,Q12994,51.208889,3.224167,Belgium,wikidata+override,curated,
Demmin,10,Demmin,Demmin,Q50960,53.905,13.043889,Germany,wikidata,high,
Genazzano,10,Genazzano,Genazzano,Q242675,41.833318,12.972838,Italy,wikidata,high,
Hørsholm,10,Hørsholm,Hørsholm Municipality,Q512540,55.883333,12.5,Denmark,wikidata,high,
Lundenæs,10,Lundenæs,,,,,,unresolved,none,
Skelskør,10,Skelskør,,,,,,unresolved,none,
