raw,query_name,country,note
Nydala,Nydala Abbey,SE,Cistercian abbey in Smaland - Wikidata's bare "Nydala" is a Skane locality
Peterskyrkan i Rom,Roma,IT,St Peter's - papal curia
Lateranen,Roma,IT,the Lateran - papal curia
Vadstena kloster,Vadstena Abbey,SE,
Tälje,Södertälje,SE,medieval Tälje = Södertälje
Åbo,Turku,FI,
Viborg,Vyborg,RU,Finnish/Karelian Viborg - NOT Viborg in Jutland
Reval,Tallinn,EE,
Köpenhamn,Copenhagen,DK,
Rom,Roma,IT,papal curia
Villeneuve,Villeneuve-lès-Avignon,FR,Avignon papacy
Vreta,Vreta Abbey,SE,
Riseberga,Riseberga Abbey,SE,
Julita,Julita Abbey,SE,
Kopparberget,Falun,SE,Stora Kopparberget - the Falun mine
Clairvaux,Clairvaux Abbey,FR,Cistercian mother house in Aube - not Clairvaux-d'Aveyron
Djula,Djulö,SE,Sodermanland manor - the source itself glosses it "Djulö?"
Holmis,Stockholm,SE,Latin locative of Holmia = Stockholm - NOT Holmi in Mersin Turkey
Holmi,Stockholm,SE,Latin Holmia = Stockholm
Holmia,Stockholm,SE,Latin name for Stockholm
Arosie,Västerås,SE,Latin Arosia = Västerås
Arosia,Västerås,SE,Latin name for Västerås
