query_name,qid,label,lat,lon,country,sitelinks
Anundshög,Q612476,Anundshög,59.630556,16.644722,Sweden,12
Arkö,Q10418069,Arkö,58.491667,16.975,Sweden,3
Arvika,Q654308,Arvika,59.658,12.592917,Sweden,48
Asa,Q10419084,Asa socken,57.165,14.794722,Sweden,3
Asaka,Q15711164,Asaka,53.581111,27.608889,Belarus,5
Asby,Q2403696,Asby,57.902843,15.207433,Sweden,6
Askersund,Q509501,Askersund Municipality,58.883333,14.9,Sweden,36
Berga,Q26793,Bergen,60.3925,5.323333,Norway,147
Bettna,Q2052614,Bettna,58.906134,16.642334,Sweden,13
Bjurum,Q10430428,Bjurum socken,58.269444,13.492778,Sweden,4
Bjälbo,Q3742585,Bjälbo,58.37241,15.003554,Sweden,5
Bjärka,Q10430480,Bjärka socken,58.295611,13.490389,Sweden,4
Björsäter,Q3283799,Björsäter,58.335079,16.022453,Sweden,12
Blacksta,Q10430871,Blacksta socken,58.958056,16.634167,Sweden,4
Blackstad,Q2383617,Blackstad,57.793373,16.195974,Sweden,4
Blombacka,Q2329513,Blombacka,59.607267,13.78984,Sweden,11
Bo,Q499450,Bø Municipality,59.457222,9.031389,Norway,38
Bogesund,Q27999,Ulricehamn,57.791731,13.418621,Sweden,37
Bollerup,Q3364657,Bollerup,55.491389,14.045833,Sweden,8
Broby,Q923113,Broby,56.256498,14.076395,Sweden,23
Burseryd,Q2066903,Burseryd,57.200851,13.285276,Sweden,14
Bäck,Q10438431,Bäcks sogn,58.692222,14.026111,Sweden,3
Böne,Q10438719,Böne sogn,57.8825,13.516111,Sweden,3
Börringe,Q10438747,Börringe sogn,55.505,13.358611,Sweden,3
Clairvaux,Q1082390,Clairvaux-d'Aveyron,44.4275,2.410556,France,42
Clairvaux Abbey,Q647070,Clairvaux Abbey,48.147222,4.788889,France,29
Copenhagen,Q1748,Copenhagen,55.676111,12.568889,Denmark,246
Dala,Q10466048,Dala socken,58.251667,13.786111,Sweden,4
Dalarna,Q103732,Dalarna County,60.678559,15.600586,Sweden,81
Dalsland,Q214806,Dalsland,58.851944,12.161111,Sweden,52
Dingtuna,Q2962508,Dingtuna,59.570174,16.378287,Sweden,14
Djula,Q428344,Diula,48.034167,23.077778,Ukraine,14
Dubrovnik,Q1722,Dubrovnik,42.640278,18.108333,Croatia,123
Dybäck,Q5318459,Dybäck Castle,55.4012,13.525,Sweden,8
Döderhult,Q10478661,Döderhult,57.2675,16.402778,Sweden,3
Ed,Q1026286,Ed,58.909663,11.939974,Sweden,24
Edeby,Q1903675,Edeby,59.710721,17.71964,Sweden,6
Ek,Q10480759,Eks sogn,58.614722,13.815833,Sweden,3
Ekby,Q10480488,Ekby socken,58.613056,13.866667,Sweden,3
Ekeberg,Q4587972,Ekeberg,59.9,10.766667,Norway,9
Ekeby,Q83647,Ekeby,55.999645,12.962958,Sweden,13
Ekholm,Q493241,Mohni,59.678,25.8024,Estonia,11
Eneby,Q4356999,Eneby,59.36,17.9136,Sweden,6
Erikstad,Q4349594,Erikstad,58.631042,12.411688,Sweden,5
Eskilstuna,Q26498,Eskilstuna,59.377306,16.512694,Sweden,81
Falköping,Q21165,Falköping,58.170005,13.555145,Sweden,49
Falun,Q26509,Falun,60.602737,15.656064,Sweden,86
