query_name,qid,label,lat,lon,country,sitelinks
Aalborg|,Q25410,Aalborg,57.05,9.916667,Denmark,110
Aarhus|,Q25319,Aarhus,56.156389,10.209722,Denmark,127
Akershus|,Q50615,Akershus,60.0,11.0,Norway,87
Anagni|,Q116404,Anagni,41.75,13.15,Italy,71
Antvorskov|,Q1783399,Antvorskov,55.391111,11.362778,Denmark,8
Assisi|,Q20103,Assisi,43.070812,12.614998,Italy,99
Avignon|,Q6397,Avignon,43.948611,4.808333,France,121
Basel|,Q78,Basel,47.560556,7.590556,Switzerland,150
Bautzen|,Q14835,Bautzen,51.181389,14.423889,Germany,86
Benevent|,Q13437,Benevento,41.133333,14.783333,Italy,95
Bergen|,Q26793,Bergen,60.3925,5.323333,Norway,147
Bohus|,Q1408860,Bohus Fortress,57.861944,11.999444,Sweden,17
Bologna|,Q1891,Bologna,44.493889,11.342778,Italy,161
Braunschweig|,Q2773,Brunswick,52.269167,10.521111,Germany,117
Bremen|,Q24879,Bremen,53.075833,8.807222,Germany,164
Brugge|Belgium,Q12994,Bruges,51.208889,3.224167,Belgium,119
Bygholm|,Q5004090,Bygholm Castle,55.864722,9.825556,Denmark,4
Citeaux|,Q843261,Cîteaux Abbey,47.128056,5.093333,France,29
Compiègne|,Q180871,Compiègne,49.414167,2.822222,France,84
Cîteaux|,Q843261,Cîteaux Abbey,47.128056,5.093333,France,29
Danzig|,Q1792,Gdańsk,54.348291,18.654023,Poland,172
Demmin|,Q50960,Demmin,53.905,13.043889,Germany,54
Den Haag|Netherlands,Q36600,The Hague,52.08,4.31,Netherlands,183
Deventer|,Q10001,Deventer,52.25,6.166667,Netherlands,84
Doberan|,Q9536,Bad Doberan,54.106944,11.905278,Germany,60
Dortmund|,Q1295,Dortmund,51.513889,7.465278,Germany,153
Dragsholm|,Q967467,Dragsholm Municipality,55.803333,11.442222,Denmark,12
Elblag|Poland,Q104712,Elbląg,54.152222,19.408889,Poland,76
Fabriano|,Q13145,Fabriano,43.338561,12.908519,Italy,61
Falkenberg|,Q54766,Falkenberg,56.901418,12.49709,Sweden,53
Falsterbo|,Q194512,Skanör med Falsterbo,55.395343,12.855141,Sweden,27
Femern|,Q3172,Fehmarn,54.436831,11.19755,Germany,71
Ferrara|,Q13362,Ferrara,44.839167,11.6175,Italy,114
Firenze|,Q2044,Florence,43.771389,11.254167,Italy,213
Flensborg|,Q3798,Flensburg,54.781944,9.436667,Germany,101
Flyinge|,Q2234445,Flyinge,55.752136,13.365891,Sweden,14
Frankfurt|,Q1794,Frankfurt,50.110556,8.682222,Germany,212
Frascati|Italy,Q190963,Frascati,41.816667,12.683333,Italy,79
Gdansk|Poland,Q1792,Gdańsk,54.348291,18.654023,Poland,172
Genazzano|,Q242675,Genazzano,41.833318,12.972838,Italy,54
Genova|,Q1449,Genoa,44.407222,8.933889,Italy,179
Gottorp|,Q647987,Gottorf Castle,54.511667,9.541389,Germany,22
Greifswald|,Q4098,Greifswald,54.083333,13.383333,Germany,85
Grevesmühlen|,Q517353,Grevesmühlen,53.86446,11.19089,Germany,42
Gudhem|,Q1014055,Gudhem,58.226849,13.566736,Sweden,20
Gurre Slot|Denmark,Q3431547,Gurre Castle,56.019499,12.505246,Denmark,9
Güstrow|,Q16147,Güstrow,53.793889,12.176389,Germany,63
Haderslev|,Q29868,Haderslev,55.25,9.5,Denmark,47
Halmstad|,Q26521,Halmstad,56.673972,12.857278,Sweden,86
Hamburg|,Q1055,Hamburg,53.55,10.0,Germany,230
Hammershus|,Q700384,Hammershus,55.271151,14.755815,Denmark,21
Heidelberg|,Q2966,Heidelberg,49.409358,8.694724,Germany,145
Helsingborg|,Q25411,Helsingborg,56.042412,12.720996,Sweden,96
Helsingør|,Q26881,Helsingør,56.036,12.6106,Denmark,82
Hjortholm|,Q23747111,Hjortholm,55.89234,10.63866,Denmark,3
Holbæk|,Q28042,Holbæk,55.7181,11.7103,Denmark,40
Holstebro|,Q27678,Holstebro,56.358056,8.6175,Denmark,48
Horsens|,Q190235,Horsens,55.861944,9.851944,Denmark,77
Hørsholm|,Q512540,Hørsholm Municipality,55.883333,12.5,Denmark,38
Itzehoe|,Q16073,Itzehoe,53.925,9.516389,Germany,57
Jönköping|,Q25415,Jönköping,57.783333,14.166667,Sweden,95
Kalmar|,Q26345,Kalmar,56.664286,16.365633,Sweden,91
Kalundborg|,Q204976,Kalundborg Municipality,55.680639,11.097972,Denmark,37
Kampen|,Q10014,Kampen,52.555,5.919722,Netherlands,55
Kiel|,Q1707,Kiel,54.323333,10.139444,Germany,142
Kolding|,Q27119,Kolding,55.490833,9.472222,Denmark,74
Konstanz|Germany,Q3834,Constance,47.663333,9.175278,Germany,97
Korsør|,Q1784816,Korsør,55.3283,11.1397,Denmark,25
Köln|,Q365,Cologne,50.942222,6.957778,Germany,190
København|,Q1748,Copenhagen,55.676111,12.568889,Denmark,246
Køge|,Q21184,Køge,55.45,12.183333,Denmark,51
Laholm|,Q503050,Laholm,56.504065,13.039083,Sweden,42
Lindholm|,Q28038,Risum-Lindholm,54.758019,8.869061,Germany,34
Linköping|,Q25413,Linköping,58.409418,15.625656,Sweden,101
London|,Q84,London,51.507222,-0.1275,United Kingdom,356
Lucca|,Q13373,Lucca,43.85,10.516667,Italy,112
Lund|Sweden,Q2167,Lund,55.708313,13.199164,Sweden,104
Lyon|,Q456,Lyon,45.7675,4.835,France,196
Lödöse|,Q1639127,Lödöse,58.027879,12.160024,Sweden,22
Lübeck|,Q2843,Lübeck,53.869722,10.686389,Germany,135
Lüneburg|,Q3920,Lüneburg,53.2525,10.414444,Germany,86
Malaucène|France,Q602820,Malaucène,44.174167,5.132222,France,35
Malbork|Poland,Q146820,Malbork,54.02846,19.04435,Poland,75
Malmø|,Q2211,Malmö,55.583333,13.0,Sweden,148
